t	U
0	0.0034
1	0.0034
2	0.0036
3	0.0039
4	0.0039
5	0.0041
6	0.0042
7	0.0047
8	0.0047
9	0.0049
10	0.0052
11	0.0055
12	0.0057
13	0.0058
14	0.0059
15	0.0060
16	0.0062
17	0.0064
18	0.0067
19	0.0071
20	0.0074
21	0.0078
22	0.0082
23	0.0089
24	0.0097
25	0.0106
26	0.0115
27	0.0126
28	0.0138
29	0.0149
30	0.0162
31	0.0173
32	0.0187
33	0.0199
34	0.0211
35	0.0221
36	0.0227
37	0.0230
38	0.0234
39	0.0242
40	0.0254
41	0.0270
42	0.0285
43	0.0300
44	0.0309
45	0.0311
46	0.0304
47	0.0291
48	0.0279
49	0.0264
50	0.0248
51	0.0233
52	0.0218
53	0.0206
54	0.0197
55	0.0188
56	0.0180
57	0.0171
58	0.0163
59	0.0158
60	0.0152
61	0.0148
62	0.0143
63	0.0137
64	0.0133
65	0.0129
66	0.0125
67	0.0122
68	0.0121
69	0.0117
70	0.0116
71	0.0116
72	0.0115
73	0.0114
74	0.0113
75	0.0110
76	0.0110
77	0.0113
78	0.0114
79	0.0114
80	0.0115
81	0.0116
82	0.0117
83	0.0119
84	0.0120
85	0.0122
86	0.0123
87	0.0123
88	0.0124
89	0.0123
90	0.0124
91	0.0126
92	0.0128
93	0.0131
94	0.0134
95	0.0139
96	0.0142
97	0.0146
98	0.0150
99	0.0153
100	0.0155
101	0.0154
102	0.0153
103	0.0151
104	0.0149
105	0.0147
106	0.0145
107	0.0144
108	0.0142
109	0.0138
110	0.0133
111	0.0127
112	0.0121
113	0.0117
114	0.0112
115	0.0106
116	0.0100
117	0.0093
118	0.0087
119	0.0079
120	0.0073
121	0.0067
122	0.0062
123	0.0057
124	0.0054
125	0.0049
126	0.0045
127	0.0038
128	0.0032
129	0.0027
130	0.0024
131	0.0021
132	0.0019
133	0.0021
134	0.0026
135	0.0032
136	0.0034
137	0.0038
138	0.0044
139	0.0051
140	0.0057
141	0.0064
142	0.0066
143	0.0068
144	0.0068
145	0.0069
146	0.0068
147	0.0067
148	0.0064
149	0.0061
150	0.0059
151	0.0057
152	0.0058
153	0.0059
154	0.0059
155	0.0057
156	0.0057
157	0.0056
158	0.0057
159	0.0058
160	0.0057
161	0.0056
162	0.0055
163	0.0055
164	0.0055
165	0.0055
166	0.0052
167	0.0050
168	0.0046
169	0.0046
170	0.0045
171	0.0044
172	0.0043
173	0.0042
174	0.0040
175	0.0039
176	0.0038
177	0.0037
178	0.0036
179	0.0034
180	0.0033
181	0.0031
182	0.0031
183	0.0031
184	0.0031
185	0.0030
186	0.0029
187	0.0028
188	0.0027
189	0.0027
190	0.0026
191	0.0027
192	0.0025
193	0.0024
194	0.0024
195	0.0023
196	0.0021
197	0.0021
198	0.0021
199	0.0020
200	0.0019
201	0.0019
202	0.0019
203	0.0018
204	0.0018
205	0.0018
206	0.0018
207	0.0017
208	0.0017
209	0.0018
210	0.0017
211	0.0017
212	0.0016
213	0.0015
214	0.0016
215	0.0015
216	0.0015
217	0.0015
218	0.0016
219	0.0017
220	0.0017
221	0.0016
222	0.0015
223	0.0015
224	0.0015
225	0.0015
226	0.0015
227	0.0014
228	0.0013
229	0.0013
230	0.0014
231	0.0015
232	0.0015
233	0.0015
234	0.0014
235	0.0015
236	0.0016
237	0.0015
238	0.0016
239	0.0015
240	0.0014
241	0.0016
242	0.0015
243	0.0014
244	0.0016
245	0.0015
246	0.0015
247	0.0016
248	0.0014
249	0.0012
250	0.0013
251	0.0013
252	0.0013
253	0.0013
254	0.0012
255	0.0013
256	0.0014
257	0.0014
258	0.0013
259	0.0014
260	0.0014
261	0.0014
262	0.0015
263	0.0013
264	0.0014
265	0.0012
266	0.0013
267	0.0013
268	0.0011
269	0.0012
270	0.0012
271	0.0013
272	0.0012
273	0.0012
274	0.0015
275	0.0023
276	0.0013
277	0.0013
278	0.0013
279	0.0014
280	0.0015
281	0.0014
282	0.0015
283	0.0014
284	0.0016
285	0.0015
286	0.0014
287	0.0013
288	0.0015
289	0.0014
290	0.0013
291	0.0013
292	0.0012
293	0.0012
294	0.0012
295	0.0013
296	0.0012
297	0.0013
298	0.0012
299	0.0013
300	0.0014
301	0.0014
302	0.0016
303	0.0016
304	0.0017
305	0.0019
306	0.0019
307	0.0020
308	0.0020
309	0.0020
310	0.0021
311	0.0022
312	0.0022
313	0.0023
314	0.0023
315	0.0023
316	0.0025
317	0.0026
318	0.0027
319	0.0028
320	0.0029
321	0.0030
322	0.0030
323	0.0031
324	0.0032
325	0.0032
326	0.0034
327	0.0035
328	0.0035
329	0.0035
330	0.0035
331	0.0034
332	0.0034
333	0.0033
334	0.0033
335	0.0031
336	0.0029
337	0.0028
338	0.0027
339	0.0026
340	0.0025
341	0.0023
342	0.0021
343	0.0020
344	0.0019
345	0.0019
346	0.0019
347	0.0019
348	0.0018
349	0.0020
350	0.0019
351	0.0019
352	0.0017
353	0.0017
354	0.0018
355	0.0016
356	0.0015
357	0.0016
358	0.0015
359	0.0016
360	0.0016
361	0.0015
362	0.0016
363	0.0016
364	0.0016
365	0.0016
366	0.0016
367	0.0016
368	0.0015
369	0.0016
370	0.0015
371	0.0016
372	0.0016
373	0.0015
374	0.0015
375	0.0015
376	0.0014
377	0.0014
378	0.0015
379	0.0014
380	0.0014
381	0.0014
382	0.0013
383	0.0013
384	0.0014
385	0.0013
386	0.0012
387	0.0012
388	0.0012
389	0.0013
390	0.0013
391	0.0014
392	0.0013
393	0.0011
394	0.0012
395	0.0012
396	0.0012
397	0.0013
398	0.0012
399	0.0013
400	0.0011
401	0.0011
402	0.0013
403	0.0012
404	0.0012
405	0.0012
406	0.0011
407	0.0012
408	0.0013
409	0.0012
410	0.0013
411	0.0011
412	0.0012
413	0.0013
414	0.0012
415	0.0013
416	0.0012
417	0.0013
418	0.0013
419	0.0014
420	0.0015
421	0.0014
422	0.0014
423	0.0013
424	0.0014
