t	U
0	0.0000
1	0.0021
2	0.0064
3	0.0066
4	0.0068
5	0.0070
6	0.0074
7	0.0074
8	0.0072
9	0.0073
10	0.0072
11	0.0072
12	0.0065
13	0.0074
14	0.0071
15	0.0070
16	0.0078
17	0.0077
18	0.0077
19	0.0078
20	0.0080
21	0.0081
22	0.0082
23	0.0085
24	0.0097
25	0.0100
26	0.0103
27	0.0106
28	0.0114
29	0.0120
30	0.0124
31	0.0129
32	0.0134
33	0.0141
34	0.0152
35	0.0163
36	0.0176
37	0.0187
38	0.0202
39	0.0213
40	0.0225
41	0.0234
42	0.0241
43	0.0249
44	0.0252
45	0.0252
46	0.0246
47	0.0240
48	0.0241
49	0.0225
50	0.0216
51	0.0204
52	0.0192
53	0.0181
54	0.0167
55	0.0154
56	0.0143
57	0.0131
58	0.0122
59	0.0112
60	0.0102
61	0.0098
62	0.0090
63	0.0083
64	0.0075
65	0.0074
66	0.0068
67	0.0063
68	0.0057
69	0.0054
70	0.0050
71	0.0047
72	0.0045
73	0.0043
74	0.0041
75	0.0040
76	0.0038
77	0.0038
78	0.0036
79	0.0037
80	0.0039
81	0.0040
82	0.0041
83	0.0044
84	0.0042
85	0.0039
86	0.0039
87	0.0041
88	0.0043
89	0.0041
90	0.0043
91	0.0042
92	0.0040
93	0.0038
94	0.0038
95	0.0036
96	0.0035
97	0.0032
98	0.0030
99	0.0030
100	0.0030
101	0.0030
102	0.0026
103	0.0025
104	0.0024
105	0.0023
106	0.0021
107	0.0021
108	0.0018
109	0.0018
110	0.0018
111	0.0019
112	0.0020
113	0.0019
114	0.0020
115	0.0020
116	0.0021
117	0.0023
118	0.0024
119	0.0025
120	0.0026
121	0.0027
122	0.0023
123	0.0024
124	0.0024
125	0.0024
126	0.0023
127	0.0023
128	0.0023
129	0.0024
130	0.0026
131	0.0026
132	0.0028
133	0.0028
134	0.0032
135	0.0033
136	0.0034
137	0.0034
138	0.0037
139	0.0039
140	0.0041
141	0.0041
142	0.0044
143	0.0046
144	0.0047
145	0.0049
146	0.0048
147	0.0048
148	0.0059
149	0.0044
150	0.0043
151	0.0043
153	0.0035
153	0.0036
154	0.0038
155	0.0033
156	0.0033
157	0.0031
158	0.0030
159	0.0026
160	0.0024
161	0.0023
162	0.0024
163	0.0029
164	0.0038
165	0.0049
166	0.0060
167	0.0074
168	0.0091
169	0.0114
170	0.0137
171	0.0163
172	0.0190
173	0.0209
174	0.0224
175	0.0221
176	0.0206
177	0.0187
178	0.0170
179	0.0150
180	0.0132
181	0.0116
182	0.0103
183	0.0094
184	0.0087
185	0.0082
186	0.0078
187	0.0075
188	0.0072
189	0.0068
190	0.0065
191	0.0062
192	0.0059
193	0.0058
194	0.0056
195	0.0052
196	0.0051
197	0.0049
198	0.0049
199	0.0049
200	0.0047
201	0.0048
202	0.0051
203	0.0051
204	0.0050
205	0.0051
206	0.0053
207	0.0054
208	0.0054
209	0.0055
210	0.0053
211	0.0054
212	0.0055
213	0.0055
214	0.0054
215	0.0055
216	0.0055
217	0.0057
218	0.0057
219	0.0057
220	0.0059
221	0.0060
222	0.0061
223	0.0061
224	0.0062
225	0.0062
226	0.0063
227	0.0062
228	0.0061
229	0.0063
230	0.0062
231	0.0064
232	0.0064
233	0.0064
234	0.0066
235	0.0068
236	0.0066
237	0.0068
238	0.0067
239	0.0068
240	0.0070
241	0.0071
242	0.0072
243	0.0074
244	0.0075
245	0.0078
246	0.0080
247	0.0082
248	0.0085
249	0.0090
250	0.0093
251	0.0096
252	0.0099
253	0.0103
254	0.0105
255	0.0113
256	0.0117
257	0.0121
258	0.0126
259	0.0130
260	0.0135
261	0.0139
262	0.0143
263	0.0141
264	0.0137
265	0.0132
266	0.0125
267	0.0111
268	0.0105
269	0.0098
270	0.0092
271	0.0086
272	0.0083
273	0.0078
274	0.0073
275	0.0071
276	0.0069
277	0.0066
278	0.0063
279	0.0058
280	0.0056
281	0.0053
282	0.0049
283	0.0047
284	0.0044
285	0.0040
286	0.0038
287	0.0035
288	0.0034
289	0.0032
290	0.0032
291	0.0027
292	0.0025
293	0.0024
294	0.0022
295	0.0022
296	0.0022
297	0.0021
298	0.0021
299	0.0019
300	0.0017
301	0.0020
302	0.0018
303	0.0018
304	0.0018
305	0.0019
306	0.0018
307	0.0018
308	0.0020
309	0.0023
310	0.0022
311	0.0023
312	0.0026
313	0.0027
314	0.0029
315	0.0031
316	0.0036
317	0.0034
318	0.0036
319	0.0037
320	0.0041
321	0.0041
322	0.0044
323	0.0048
324	0.0053
325	0.0059
326	0.0065
327	0.0073
328	0.0082
329	0.0095
330	0.0110
331	0.0130
332	0.0144
333	0.0161
334	0.0147
335	0.0132
336	0.0118
337	0.0106
338	0.0095
339	0.0086
340	0.0081
341	0.0076
342	0.0070
343	0.0063
344	0.0061
345	0.0060
346	0.0059
347	0.0058
348	0.0058
349	0.0058
350	0.0055
351	0.0055
352	0.0054
353	0.0052
354	0.0052
355	0.0051
356	0.0049
357	0.0049
358	0.0048
359	0.0048
360	0.0046
361	0.0045
362	0.0043
363	0.0042
364	0.0041
365	0.0040
366	0.0039
367	0.0039
368	0.0039
369	0.0037
370	0.0040
371	0.0037
372	0.0036
373	0.0036
374	0.0036
375	0.0035
376	0.0035
377	0.0035
378	0.0035
379	0.0034
380	0.0034
381	0.0034
382	0.0038
383	0.0034
384	0.0033
385	0.0031
386	0.0032
387	0.0035
388	0.0033
389	0.0036
390	0.0034
391	0.0034
392	0.0035
393	0.0032
394	0.0033
395	0.0033
396	0.0035
397	0.0034
398	0.0035
399	0.0035
400	0.0035
401	0.0034
402	0.0034
403	0.0033
404	0.0034
405	0.0034
406	0.0035
407	0.0033
408	0.0034
409	0.0035
410	0.0035
411	0.0037
412	0.0035
413	0.0035
414	0.0035
415	0.0035
416	0.0035
417	0.0035
418	0.0034
419	0.0035
420	0.0035
421	0.0036
422	0.0036
423	0.0035
424	0.0036
425	0.0037
426	0.0037
427	0.0036
428	0.0038
429	0.0038
430	0.0038
431	0.0039
432	0.0039
433	0.0039
434	0.0040
435	0.0041
436	0.0043
437	0.0044
438	0.0047
439	0.0044
440	0.0046
441	0.0046
442	0.0047
443	0.0049
444	0.0049
445	0.0052
446	0.0054
447	0.0055
448	0.0058
449	0.0061
450	0.0065
451	0.0067
452	0.0070
453	0.0073
454	0.0078
455	0.0085
456	0.0090
457	0.0096
458	0.0105
459	0.0113
460	0.0124
461	0.0130
462	0.0140
463	0.0152
464	0.0157
465	0.0159
466	0.0159
467	0.0153
468	0.0144
469	0.0135
470	0.0126
471	0.0116
472	0.0106
473	0.0096
474	0.0089
475	0.0082
476	0.0077
477	0.0072
478	0.0064
479	0.0060
480	0.0057
481	0.0055
482	0.0052
483	0.0048
484	0.0047
485	0.0044
486	0.0043
487	0.0040
488	0.0040
489	0.0038
490	0.0035
491	0.0033
492	0.0030
493	0.0028
494	0.0029
495	0.0029
496	0.0026
497	0.0025
498	0.0023
499	0.0022
500	0.0021
501	0.0017
502	0.0018
503	0.0019
504	0.0019
505	0.0018
506	0.0019
507	0.0017
508	0.0016
509	0.0018
510	0.0017
511	0.0020
512	0.0023
513	0.0026
514	0.0033
515	0.0037
516	0.0042
517	0.0048
518	0.0052
519	0.0051
520	0.0052
521	0.0049
522	0.0047
523	0.0043
524	0.0042
525	0.0040
526	0.0038
527	0.0036
528	0.0034
529	0.0035
530	0.0032
531	0.0033
532	0.0031
533	0.0037
534	0.0031
535	0.0032
536	0.0032
537	0.0033
538	0.0032
539	0.0033
540	0.0032
541	0.0032
542	0.0035
543	0.0032
544	0.0040
545	0.0033
546	0.0035
547	0.0034
548	0.0034
549	0.0033
550	0.0034
551	0.0035
552	0.0038
553	0.0039
554	0.0041
555	0.0041
556	0.0042
557	0.0041
558	0.0045
559	0.0049
560	0.0049
561	0.0051
562	0.0055
563	0.0059
564	0.0061
565	0.0066
566	0.0071
567	0.0079
568	0.0088
569	0.0098
570	0.0107
571	0.0113
572	0.0115
573	0.0113
574	0.0108
575	0.0103
576	0.0099
577	0.0102
578	0.0106
579	0.0110
580	0.0109
581	0.0104
582	0.0096
583	0.0088
584	0.0081
585	0.0075
586	0.0072
587	0.0069
588	0.0064
589	0.0061
590	0.0056
591	0.0052
592	0.0052
593	0.0052
594	0.0052
595	0.0050
596	0.0050
597	0.0049
598	0.0050
599	0.0049
600	0.0049
601	0.0049
602	0.0047
603	0.0047
604	0.0048
605	0.0049
606	0.0052
607	0.0048
608	0.0051
609	0.0055
610	0.0057
611	0.0060
612	0.0066
613	0.0072
614	0.0078
615	0.0085
616	0.0093
617	0.0101
618	0.0101
619	0.0099
620	0.0087
621	0.0071
622	0.0058
623	0.0046
624	0.0045
625	0.0046
626	0.0051
627	0.0056
628	0.0063
629	0.0067
630	0.0068
631	0.0068
632	0.0065
633	0.0058
634	0.0053
635	0.0048
636	0.0043
637	0.0040
638	0.0038
639	0.0035
640	0.0034
641	0.0031
642	0.0029
643	0.0026
644	0.0024
645	0.0023
646	0.0024
647	0.0022
648	0.0021
649	0.0020
650	0.0019
651	0.0019
652	0.0021
653	0.0019
654	0.0022
655	0.0020
656	0.0024
657	0.0028
658	0.0031
659	0.0033
660	0.0036
661	0.0041
662	0.0045
663	0.0052
664	0.0056
665	0.0063
666	0.0071
667	0.0078
668	0.0084
669	0.0089
670	0.0093
671	0.0091
672	0.0092
673	0.0089
674	0.0083
675	0.0078
676	0.0073
677	0.0070
678	0.0067
679	0.0067
680	0.0065
681	0.0058
682	0.0057
683	0.0056
684	0.0054
685	0.0053
686	0.0052
687	0.0053
688	0.0056
689	0.0054
690	0.0051
691	0.0051
692	0.0051
693	0.0051
694	0.0053
695	0.0053
696	0.0056
697	0.0058
698	0.0061
699	0.0060
700	0.0065
701	0.0066
702	0.0070
703	0.0072
704	0.0071
705	0.0072
706	0.0070
707	0.0071
708	0.0071
709	0.0065
710	0.0058
711	0.0050
712	0.0045
713	0.0038
714	0.0030
715	0.0028
716	0.0025
717	0.0023
718	0.0021
719	0.0016
720	0.0017
721	0.0016
722	0.0017
723	0.0020
724	0.0021
725	0.0023
726	0.0023
727	0.0026
728	0.0028
729	0.0032
730	0.0035
731	0.0034
732	0.0037
