t	U
0	0.0013
1	0.0013
2	0.0033
3	0.0049
4	0.0034
5	0.0052
6	0.0044
7	0.0061
8	0.0054
9	0.0060
10	0.0079
11	0.0086
12	0.0048
13	0.0043
14	0.0035
15	0.0039
16	0.0040
17	0.0049
18	0.0038
19	0.0039
20	0.0046
21	0.0046
22	0.0048
23	0.0048
24	0.0054
25	0.0054
26	0.0041
27	0.0037
28	0.0034
29	0.0044
30	0.0039
31	0.0043
32	0.0042
33	0.0044
34	0.0050
35	0.0046
36	0.0044
37	0.0043
38	0.0041
39	0.0040
40	0.0045
41	0.0058
42	0.0053
43	0.0059
44	0.0063
45	0.0067
46	0.0072
47	0.0082
48	0.0104
49	0.0142
50	0.0148
51	0.0111
52	0.0092
53	0.0083
54	0.0080
55	0.0073
56	0.0067
57	0.0072
58	0.0069
59	0.0064
60	0.0064
61	0.0065
62	0.0065
63	0.0068
64	0.0068
65	0.0061
66	0.0060
67	0.0065
68	0.0071
69	0.0073
70	0.0068
71	0.0061
72	0.0061
73	0.0062
74	0.0065
75	0.0067
76	0.0070
77	0.0070
78	0.0073
79	0.0073
80	0.0081
81	0.0086
82	0.0079
83	0.0079
84	0.0080
85	0.0080
86	0.0078
87	0.0085
88	0.0095
89	0.0095
90	0.0093
91	0.0087
92	0.0082
93	0.0081
94	0.0080
95	0.0078
96	0.0073
97	0.0067
98	0.0067
99	0.0071
100	0.0071
101	0.0067
102	0.0067
103	0.0067
104	0.0067
105	0.0066
106	0.0067
107	0.0063
108	0.0065
109	0.0065
110	0.0065
111	0.0063
112	0.0064
113	0.0066
114	0.0063
115	0.0072
116	0.0080
117	0.0091
118	0.0086
119	0.0078
120	0.0078
121	0.0088
122	0.0101
123	0.0100
124	0.0089
125	0.0084
126	0.0073
127	0.0079
128	0.0066
129	0.0047
130	0.0034
131	0.0036
132	0.0041
133	0.0045
134	0.0045
135	0.0044
136	0.0048
137	0.0051
138	0.0054
139	0.0054
140	0.0055
141	0.0059
142	0.0062
143	0.0066
144	0.0067
145	0.0068
146	0.0070
147	0.0072
148	0.0070
149	0.0068
150	0.0068
151	0.0062
152	0.0063
153	0.0066
154	0.0067
155	0.0065
156	0.0063
157	0.0064
158	0.0066
159	0.0072
160	0.0076
161	0.0079
162	0.0075
163	0.0072
164	0.0071
165	0.0071
166	0.0072
167	0.0072
168	0.0070
169	0.0070
170	0.0069
171	0.0069
172	0.0068
173	0.0066
174	0.0061
175	0.0059
176	0.0057
177	0.0057
178	0.0056
179	0.0056
180	0.0058
181	0.0066
182	0.0081
183	0.0106
184	0.0106
185	0.0096
186	0.0088
187	0.0088
188	0.0093
189	0.0102
190	0.0103
191	0.0098
192	0.0084
193	0.0077
194	0.0079
195	0.0083
196	0.0093
197	0.0107
198	0.0106
199	0.0092
200	0.0081
201	0.0074
202	0.0074
203	0.0074
204	0.0078
205	0.0081
206	0.0082
207	0.0087
208	0.0088
209	0.0090
210	0.0089
211	0.0090
212	0.0093
213	0.0094
214	0.0099
215	0.0099
216	0.0101
217	0.0104
218	0.0107
219	0.0108
220	0.0113
221	0.0116
222	0.0122
223	0.0129
224	0.0139
225	0.0150
226	0.0156
227	0.0163
228	0.0170
229	0.0178
230	0.0186
231	0.0191
232	0.0196
233	0.0198
234	0.0199
235	0.0202
236	0.0210
237	0.0222
238	0.0236
239	0.0257
240	0.0289
241	0.0324
242	0.0357
243	0.0395
244	0.0430
245	0.0443
246	0.0426
247	0.0385
248	0.0340
249	0.0301
