Sample Name, 25.75
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 2.7398, 0.18
191.0, 2.8062, 0.16
192.0, 3.3027, 0.05
193.0, 2.8691, 0.14
194.0, 3.0751, 0.08
195.0, 4.1861, 0.01
196.0, 3.0632, 0.09
197.0, 4.0161, 0.01
198.0, 3.1362, 0.07
199.0, 3.3707, 0.04
200.0, 3.5397, 0.03
201.0, 2.8160, 0.15
202.0, 3.9094, 0.01
203.0, 3.2878, 0.05
204.0, 3.7884, 0.02
205.0, 3.5920, 0.03
206.0, 3.3185, 0.05
207.0, 4.0408, 0.01
208.0, 3.5157, 0.03
209.0, 3.5363, 0.03
210.0, 3.8026, 0.02
211.0, 3.4712, 0.03
212.0, 3.7441, 0.02
213.0, 3.8581, 0.01
214.0, 3.6979, 0.02
215.0, 3.8874, 0.01
216.0, 3.7231, 0.02
217.0, 3.5121, 0.03
218.0, 4.0450, 0.01
219.0, 3.5769, 0.03
220.0, 3.6938, 0.02
221.0, 4.2448, 0.01
222.0, 3.7069, 0.02
223.0, 3.8577, 0.01
224.0, 3.8615, 0.01
225.0, 3.5218, 0.03
226.0, 4.0876, 0.01
227.0, 3.7208, 0.02
228.0, 3.6633, 0.02
229.0, 4.2653, 0.01
230.0, 3.6116, 0.02
231.0, 3.8656, 0.01
232.0, 4.0854, 0.01
233.0, 3.6564, 0.02
234.0, 3.9535, 0.01
235.0, 3.9491, 0.01
236.0, 3.6428, 0.02
237.0, 4.0632, 0.01
238.0, 3.6896, 0.02
239.0, 3.5749, 0.03
240.0, 4.2234, 0.01
241.0, 3.6173, 0.02
242.0, 3.8181, 0.02
243.0, 4.0379, 0.01
244.0, 3.6685, 0.02
245.0, 3.8144, 0.02
246.0, 3.8153, 0.02
247.0, 3.4741, 0.03
248.0, 4.0401, 0.01
249.0, 3.6161, 0.02
250.0, 3.6754, 0.02
251.0, 4.0448, 0.01
252.0, 3.5683, 0.03
253.0, 3.5683, 0.03
254.0, 3.9197, 0.01
255.0, 3.6171, 0.02
256.0, 4.2166, 0.01
257.0, 3.6694, 0.02
258.0, 3.6072, 0.02
259.0, 3.9035, 0.01
260.0, 3.8010, 0.02
261.0, 3.5904, 0.03
262.0, 4.4866, 0.00
263.0, 3.4376, 0.04
264.0, 3.8690, 0.01
265.0, 3.8611, 0.01
266.0, 3.4552, 0.04
267.0, 4.1464, 0.01
268.0, 3.7408, 0.02
269.0, 3.5863, 0.03
270.0, 3.9468, 0.01
271.0, 3.5717, 0.03
272.0, 3.5649, 0.03
273.0, 3.8025, 0.02
274.0, 3.4967, 0.03
275.0, 3.7938, 0.02
276.0, 3.5479, 0.03
277.0, 3.4362, 0.04
278.0, 3.9115, 0.01
279.0, 3.6088, 0.02
280.0, 3.4312, 0.04
281.0, 4.3843, 0.00
282.0, 3.4803, 0.03
283.0, 3.5373, 0.03
284.0, 3.9044, 0.01
285.0, 3.3804, 0.04
286.0, 4.0782, 0.01
287.0, 3.9012, 0.01
288.0, 3.5324, 0.03
289.0, 4.0763, 0.01
290.0, 3.5990, 0.03
291.0, 3.5988, 0.03
292.0, 3.7751, 0.02
293.0, 3.5318, 0.03
294.0, 3.5984, 0.03
295.0, 3.7736, 0.02
296.0, 3.4202, 0.04
297.0, 3.8959, 0.01
298.0, 3.5925, 0.03
299.0, 3.4136, 0.04
300.0, 4.0642, 0.01
301.0, 3.4590, 0.03
302.0, 3.4556, 0.04
303.0, 3.8782, 0.01
304.0, 3.4481, 0.04
305.0, 3.5690, 0.03
306.0, 3.8661, 0.01
307.0, 3.4356, 0.04
308.0, 4.0334, 0.01
309.0, 3.6307, 0.02
310.0, 3.4212, 0.04
311.0, 4.0183, 0.01
312.0, 3.4690, 0.03
313.0, 4.3093, 0.00
314.0, 3.4542, 0.04
315.0, 3.3909, 0.04
316.0, 3.9880, 0.01
317.0, 3.4704, 0.03
318.0, 3.6247, 0.02
319.0, 3.7953, 0.02
320.0, 3.3128, 0.05
321.0, 3.6599, 0.02
322.0, 3.6026, 0.02
323.0, 3.4048, 0.04
324.0, 4.0681, 0.01
325.0, 3.3923, 0.04
326.0, 3.4171, 0.04
327.0, 3.8247, 0.01
328.0, 3.2862, 0.05
329.0, 3.6650, 0.02
330.0, 3.8041, 0.02
331.0, 3.2406, 0.06
332.0, 3.7100, 0.02
333.0, 3.4012, 0.04
334.0, 3.3272, 0.05
335.0, 3.9895, 0.01
336.0, 3.3804, 0.04
337.0, 3.4529, 0.04
338.0, 3.9688, 0.01
339.0, 3.1844, 0.07
340.0, 3.7755, 0.02
341.0, 3.1463, 0.07
342.0, 3.1891, 0.06
343.0, 3.6763, 0.02
344.0, 3.0841, 0.08
345.0, 3.2576, 0.06
346.0, 3.6113, 0.02
347.0, 3.2078, 0.06
348.0, 3.4889, 0.03
349.0, 3.3465, 0.05
350.0, 3.1821, 0.07
351.0, 3.8926, 0.01
352.0, 3.2353, 0.06
353.0, 3.2483, 0.06
354.0, 3.9289, 0.01
355.0, 3.2109, 0.06
356.0, 3.5195, 0.03
357.0, 3.6499, 0.02
358.0, 3.1764, 0.07
359.0, 3.6561, 0.02
360.0, 3.2586, 0.06
361.0, 3.2872, 0.05
362.0, 3.9537, 0.01
363.0, 3.2800, 0.05
364.0, 3.4651, 0.03
365.0, 3.7114, 0.02
366.0, 3.2230, 0.06
367.0, 3.4826, 0.03
368.0, 3.5238, 0.03
369.0, 3.0696, 0.09
370.0, 2.8974, 0.13
371.0, 3.7688, 0.02
372.0, 3.5617, 0.03
373.0, 3.3725, 0.04
374.0, 3.9892, 0.01
375.0, 3.5272, 0.03
376.0, 3.4756, 0.03
377.0, 4.0353, 0.01
378.0, 3.3520, 0.04
379.0, 3.7649, 0.02
380.0, 4.0806, 0.01
381.0, 3.5506, 0.03
382.0, 3.9320, 0.01
383.0, 3.8209, 0.02
384.0, 3.4820, 0.03
385.0, 3.8467, 0.01
386.0, 3.6159, 0.02
387.0, 3.6270, 0.02
388.0, 4.0061, 0.01
389.0, 3.6501, 0.02
390.0, 4.5056, 0.00
391.0, 3.6079, 0.02
392.0, 3.7446, 0.02
393.0, 3.6306, 0.02
394.0, 3.6407, 0.02
395.0, 3.9513, 0.01
396.0, 3.7843, 0.02
397.0, 3.5712, 0.03
398.0, 3.9774, 0.01
399.0, 3.6846, 0.02
400.0, 3.8173, 0.02
401.0, 4.3023, 0.00
402.0, 3.6110, 0.02
403.0, 3.8401, 0.01
404.0, 3.8472, 0.01
405.0, 3.8535, 0.01
406.0, 4.3367, 0.00
407.0, 3.8656, 0.01
408.0, 3.8711, 0.01
409.0, 4.3535, 0.00
410.0, 3.8812, 0.01
411.0, 3.7609, 0.02
412.0, 4.0666, 0.01
413.0, 3.5945, 0.03
414.0, 4.0762, 0.01
415.0, 3.9044, 0.01
416.0, 3.6862, 0.02
417.0, 4.3884, 0.00
418.0, 3.9143, 0.01
419.0, 3.7920, 0.02
420.0, 4.0954, 0.01
421.0, 3.7963, 0.02
422.0, 3.9228, 0.01
423.0, 4.1001, 0.01
424.0, 3.9249, 0.01
425.0, 3.8006, 0.02
426.0, 4.1022, 0.01
427.0, 3.8014, 0.02
428.0, 3.9264, 0.01
429.0, 3.6249, 0.02
430.0, 3.6241, 0.02
431.0, 3.9238, 0.01
432.0, 3.4451, 0.04
433.0, 3.4942, 0.03
434.0, 3.3952, 0.04
435.0, 3.2466, 0.06
436.0, 3.3108, 0.05
437.0, 3.1827, 0.07
438.0, 3.0446, 0.09
439.0, 3.0568, 0.09
440.0, 2.9272, 0.12
441.0, 2.8503, 0.14
442.0, 2.8065, 0.16
443.0, 2.7026, 0.20
444.0, 2.6951, 0.20
445.0, 2.6243, 0.24
446.0, 2.5535, 0.28
447.0, 2.5234, 0.30
448.0, 2.4623, 0.34
449.0, 2.4105, 0.39
450.0, 2.3731, 0.42
451.0, 2.2903, 0.51
452.0, 2.2402, 0.58
453.0, 2.2024, 0.63
454.0, 2.1604, 0.69
455.0, 2.1305, 0.74
456.0, 2.0915, 0.81
457.0, 2.0549, 0.88
458.0, 2.0293, 0.93
459.0, 1.9949, 1.01
460.0, 1.9642, 1.09
461.0, 1.9391, 1.15
462.0, 1.9076, 1.24
463.0, 1.8865, 1.30
464.0, 1.8605, 1.38
465.0, 1.8340, 1.47
466.0, 1.8146, 1.53
467.0, 1.7924, 1.61
468.0, 1.7736, 1.68
469.0, 1.7583, 1.74
470.0, 1.7386, 1.83
471.0, 1.7201, 1.90
472.0, 1.7066, 1.97
473.0, 1.6873, 2.05
474.0, 1.6691, 2.14
475.0, 1.6540, 2.22
476.0, 1.6371, 2.31
477.0, 1.6256, 2.37
478.0, 1.6134, 2.44
479.0, 1.5978, 2.52
480.0, 1.5917, 2.56
481.0, 1.5766, 2.65
482.0, 1.5663, 2.71
483.0, 1.5578, 2.77
484.0, 1.5463, 2.84
485.0, 1.5382, 2.90
486.0, 1.5285, 2.96
487.0, 1.5205, 3.02
488.0, 1.5122, 3.08
489.0, 1.5033, 3.14
490.0, 1.4981, 3.18
491.0, 1.4890, 3.24
492.0, 1.4811, 3.30
493.0, 1.4734, 3.36
494.0, 1.4668, 3.41
495.0, 1.4611, 3.46
496.0, 1.4549, 3.51
497.0, 1.4478, 3.57
498.0, 1.4428, 3.61
499.0, 1.4373, 3.65
500.0, 1.4304, 3.71
501.0, 1.4261, 3.75
502.0, 1.4209, 3.79
503.0, 1.4172, 3.83
504.0, 1.4135, 3.86
505.0, 1.4086, 3.90
506.0, 1.4045, 3.94
507.0, 1.4009, 3.97
508.0, 1.3964, 4.01
509.0, 1.3941, 4.04
510.0, 1.3903, 4.07
511.0, 1.3850, 4.12
512.0, 1.3828, 4.14
513.0, 1.3794, 4.17
514.0, 1.3760, 4.21
515.0, 1.3736, 4.23
516.0, 1.3689, 4.28
517.0, 1.3672, 4.29
518.0, 1.3645, 4.32
519.0, 1.3615, 4.35
520.0, 1.3590, 4.37
521.0, 1.3569, 4.40
522.0, 1.3539, 4.43
523.0, 1.3523, 4.44
524.0, 1.3489, 4.48
525.0, 1.3476, 4.49
526.0, 1.3468, 4.50
527.0, 1.3444, 4.52
528.0, 1.3429, 4.54
529.0, 1.3417, 4.55
530.0, 1.3402, 4.57
531.0, 1.3390, 4.58
532.0, 1.3369, 4.60
533.0, 1.3352, 4.62
534.0, 1.3339, 4.64
535.0, 1.3316, 4.66
536.0, 1.3297, 4.68
537.0, 1.3283, 4.70
538.0, 1.3280, 4.70
539.0, 1.3266, 4.71
540.0, 1.3255, 4.73
541.0, 1.3234, 4.75
542.0, 1.3238, 4.74
543.0, 1.3232, 4.75
544.0, 1.3220, 4.76
545.0, 1.3214, 4.77
546.0, 1.3197, 4.79
547.0, 1.3181, 4.81
548.0, 1.3177, 4.81
549.0, 1.3162, 4.83
550.0, 1.3163, 4.83
551.0, 1.3162, 4.83
552.0, 1.3153, 4.84
553.0, 1.3147, 4.84
554.0, 1.3131, 4.86
555.0, 1.3120, 4.88
556.0, 1.3113, 4.88
557.0, 1.3090, 4.91
558.0, 1.3068, 4.93
559.0, 1.3056, 4.95
560.0, 1.3040, 4.97
561.0, 1.3046, 4.96
562.0, 1.3040, 4.97
563.0, 1.3024, 4.98
564.0, 1.3025, 4.98
565.0, 1.3013, 5.00
566.0, 1.3006, 5.00
567.0, 1.3001, 5.01
568.0, 1.2997, 5.02
569.0, 1.2987, 5.03
570.0, 1.2985, 5.03
571.0, 1.2974, 5.04
572.0, 1.2969, 5.05
573.0, 1.2959, 5.06
574.0, 1.2944, 5.08
575.0, 1.2948, 5.07
576.0, 1.2938, 5.08
577.0, 1.2928, 5.10
578.0, 1.2929, 5.09
579.0, 1.2923, 5.10
580.0, 1.2936, 5.09
581.0, 1.2932, 5.09
582.0, 1.2924, 5.10
583.0, 1.2923, 5.10
584.0, 1.2921, 5.10
585.0, 1.2915, 5.11
586.0, 1.2806, 5.24
587.0, 1.2810, 5.24
588.0, 1.2804, 5.24
589.0, 1.2798, 5.25
590.0, 1.2800, 5.25
591.0, 1.2799, 5.25
592.0, 1.2797, 5.25
593.0, 1.2791, 5.26
594.0, 1.2777, 5.28
595.0, 1.2771, 5.28
596.0, 1.2766, 5.29
597.0, 1.2749, 5.31
598.0, 1.2750, 5.31
599.0, 1.2741, 5.32
600.0, 1.2730, 5.33
601.0, 1.2739, 5.32
602.0, 1.2717, 5.35
603.0, 1.2715, 5.35
604.0, 1.2711, 5.36
605.0, 1.2704, 5.37
606.0, 1.2699, 5.37
607.0, 1.2692, 5.38
608.0, 1.2690, 5.38
609.0, 1.2685, 5.39
610.0, 1.2676, 5.40
611.0, 1.2677, 5.40
612.0, 1.2670, 5.41
613.0, 1.2669, 5.41
614.0, 1.2664, 5.42
615.0, 1.2664, 5.41
616.0, 1.2659, 5.42
617.0, 1.2651, 5.43
618.0, 1.2640, 5.44
619.0, 1.2637, 5.45
620.0, 1.2633, 5.45
621.0, 1.2630, 5.46
622.0, 1.2627, 5.46
623.0, 1.2623, 5.47
624.0, 1.2620, 5.47
625.0, 1.2621, 5.47
626.0, 1.2609, 5.48
627.0, 1.2608, 5.49
628.0, 1.2609, 5.48
629.0, 1.2607, 5.49
630.0, 1.2599, 5.50
631.0, 1.2597, 5.50
632.0, 1.2589, 5.51
633.0, 1.2592, 5.51
634.0, 1.2583, 5.52
635.0, 1.2580, 5.52
636.0, 1.2576, 5.53
637.0, 1.2566, 5.54
638.0, 1.2567, 5.54
639.0, 1.2561, 5.55
640.0, 1.2561, 5.55
641.0, 1.2561, 5.55
642.0, 1.2557, 5.55
643.0, 1.2548, 5.56
644.0, 1.2539, 5.57
645.0, 1.2539, 5.57
646.0, 1.2536, 5.58
647.0, 1.2535, 5.58
648.0, 1.2527, 5.59
649.0, 1.2524, 5.59
650.0, 1.2525, 5.59
651.0, 1.2514, 5.61
652.0, 1.2520, 5.60
653.0, 1.2522, 5.60
654.0, 1.2508, 5.61
655.0, 1.2506, 5.62
656.0, 1.2492, 5.63
657.0, 1.2491, 5.64
658.0, 1.2488, 5.64
659.0, 1.2482, 5.65
660.0, 1.2483, 5.65
661.0, 1.2475, 5.66
662.0, 1.2468, 5.67
663.0, 1.2467, 5.67
664.0, 1.2467, 5.67
665.0, 1.2466, 5.67
666.0, 1.2453, 5.68
667.0, 1.2447, 5.69
668.0, 1.2445, 5.70
669.0, 1.2444, 5.70
670.0, 1.2436, 5.71
671.0, 1.2431, 5.71
672.0, 1.2430, 5.71
673.0, 1.2423, 5.72
674.0, 1.2419, 5.73
