 WL        Abs       T%
 190.0  3.452875   0.035247
 191.0  3.026242   0.094137
 192.0  3.162863   0.068729
 193.0  2.770452   0.169648
 194.0  3.270546   0.053636
 195.0  3.088349   0.081593
 196.0  3.488739   0.032453
 197.0  3.170702   0.067499
 198.0  3.004602   0.098946
 199.0  3.457579   0.034868
 200.0  2.995526   0.101036
 201.0  2.877829   0.132486
 202.0  3.064512   0.086196
 203.0  3.200502   0.063023
 204.0  3.362506   0.043400
 205.0  3.114900   0.076754
 206.0  3.540288   0.028821
 207.0  3.341909   0.045508
 208.0  3.184748   0.065351
 209.0  3.427017   0.037410
 210.0  3.200680   0.062997
 211.0  3.249084   0.056353
 212.0  3.363784   0.043273
 213.0  3.117769   0.076249
 214.0  3.299682   0.050155
 215.0  3.188436   0.064798
 216.0  3.103229   0.078844
 217.0  3.150276   0.070750
 218.0  3.017151   0.096128
 219.0  2.918453   0.120656
 220.0  2.947886   0.112749
 221.0  2.838392   0.145080
 222.0  2.819520   0.151524
 223.0  2.764273   0.172079
 224.0  2.679739   0.209055
 225.0  2.665498   0.216024
 226.0  2.601079   0.250565
 227.0  2.544706   0.285295
 228.0  2.521056   0.301262
 229.0  2.466079   0.341917
 230.0  2.445250   0.358715
 231.0  2.412378   0.386921
 232.0  2.369478   0.427093
 233.0  2.336652   0.460626
 234.0  2.302749   0.498024
 235.0  2.252011   0.559743
 236.0  2.240290   0.575056
 237.0  2.197932   0.633969
 238.0  2.169160   0.677392
 239.0  2.156377   0.697626
 240.0  2.124748   0.750329
 241.0  2.110249   0.775802
 242.0  2.092354   0.808437
 243.0  2.064538   0.861911
 244.0  2.053892   0.883300
 245.0  2.036030   0.920386
 246.0  2.011443   0.973996
 247.0  2.003500   0.991973
 248.0  1.984375   1.036632
 249.0  1.972261   1.065956
 250.0  1.961670   1.092270
 251.0  1.939415   1.149702
 252.0  1.933312   1.165971
 253.0  1.920228   1.201634
 254.0  1.902424   1.251918
 255.0  1.900905   1.256304
 256.0  1.885121   1.302803
 257.0  1.871698   1.343699
 258.0  1.867799   1.355817
 259.0  1.849147   1.415315
 260.0  1.844397   1.430878
 261.0  1.836332   1.457698
 262.0  1.819657   1.514756
 263.0  1.817816   1.521190
 264.0  1.805226   1.565935
 265.0  1.794297   1.605844
 266.0  1.791266   1.617090
 267.0  1.780563   1.657438
 268.0  1.772878   1.687027
 269.0  1.768606   1.703703
 270.0  1.757039   1.749689
 271.0  1.756608   1.751428
 272.0  1.746989   1.790650
 273.0  1.734815   1.841555
 274.0  1.730253   1.861002
