Sample Name, 45.55.
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 4.4529, 0.00
191.0, 3.2693, 0.05
192.0, 3.4261, 0.04
193.0, 3.1104, 0.08
194.0, 4.1156, 0.01
195.0, 3.6412, 0.02
196.0, 4.2669, 0.01
197.0, 3.4717, 0.03
198.0, 3.3663, 0.04
199.0, 4.4118, 0.00
200.0, 3.3635, 0.04
201.0, 2.9918, 0.10
202.0, 3.6086, 0.02
203.0, 3.6398, 0.02
204.0, 4.2656, 0.01
205.0, 3.5128, 0.03
206.0, 4.3184, 0.00
207.0, 3.7398, 0.02
208.0, 3.7588, 0.02
209.0, 4.3813, 0.00
210.0, 3.8027, 0.02
211.0, 3.7262, 0.02
212.0, 4.4430, 0.00
213.0, 3.8581, 0.01
214.0, 4.1826, 0.01
215.0, 4.1884, 0.01
216.0, 4.0240, 0.01
217.0, 4.5120, 0.00
218.0, 4.0452, 0.01
219.0, 3.8323, 0.01
220.0, 4.5390, 0.00
221.0, 4.0688, 0.01
222.0, 3.8529, 0.01
223.0, 4.5567, 0.00
224.0, 3.8616, 0.01
225.0, 4.2621, 0.01
226.0, 4.0877, 0.01
227.0, 3.9638, 0.01
228.0, 4.2653, 0.01
229.0, 3.9644, 0.01
230.0, 4.0887, 0.01
231.0, 4.5647, 0.00
232.0, 3.9605, 0.01
233.0, 3.9573, 0.01
234.0, 4.5556, 0.00
235.0, 3.8519, 0.01
236.0, 4.2446, 0.01
237.0, 4.0632, 0.01
238.0, 3.8357, 0.01
239.0, 4.5293, 0.00
240.0, 3.8255, 0.01
241.0, 3.9181, 0.01
242.0, 4.5172, 0.00
243.0, 3.8158, 0.02
244.0, 4.2123, 0.01
245.0, 4.5132, 0.00
246.0, 3.9118, 0.01
247.0, 4.5154, 0.00
248.0, 4.2161, 0.01
249.0, 3.9167, 0.01
250.0, 4.5204, 0.00
251.0, 3.8225, 0.02
252.0, 3.9201, 0.01
253.0, 4.5223, 0.00
254.0, 3.9195, 0.01
255.0, 4.2190, 0.01
256.0, 4.2165, 0.01
257.0, 3.9121, 0.01
258.0, 4.5103, 0.00
259.0, 4.0281, 0.01
260.0, 3.8006, 0.02
261.0, 4.4934, 0.00
262.0, 3.8841, 0.01
263.0, 4.0016, 0.01
264.0, 4.4708, 0.00
265.0, 3.7637, 0.02
266.0, 4.1539, 0.01
267.0, 3.9700, 0.01
268.0, 3.7404, 0.02
269.0, 4.4314, 0.00
270.0, 3.8215, 0.02
271.0, 3.8145, 0.02
272.0, 4.4097, 0.00
273.0, 3.6260, 0.02
274.0, 3.7975, 0.02
275.0, 4.3956, 0.00
276.0, 3.6936, 0.02
277.0, 4.0893, 0.01
278.0, 3.7861, 0.02
279.0, 3.7846, 0.02
280.0, 4.3852, 0.00
281.0, 3.6849, 0.02
282.0, 3.7810, 0.02
283.0, 4.3820, 0.00
284.0, 3.6821, 0.02
285.0, 4.3800, 0.00
286.0, 3.9016, 0.01
287.0, 3.5997, 0.03
288.0, 4.0761, 0.01
289.0, 4.0757, 0.01
290.0, 4.0758, 0.01
291.0, 4.0757, 0.01
292.0, 3.8996, 0.01
293.0, 3.7745, 0.02
294.0, 4.3761, 0.00
295.0, 3.7734, 0.02
296.0, 4.3742, 0.00
297.0, 4.0716, 0.01
298.0, 3.6715, 0.02
299.0, 4.3675, 0.00
300.0, 3.7628, 0.02
301.0, 4.0608, 0.01
302.0, 4.3583, 0.00
303.0, 3.8778, 0.01
304.0, 3.8737, 0.01
305.0, 4.3468, 0.00
306.0, 3.5646, 0.03
307.0, 4.0371, 0.01
308.0, 4.0329, 0.01
309.0, 4.3293, 0.00
310.0, 4.3239, 0.00
311.0, 3.7167, 0.02
312.0, 3.8366, 0.01
313.0, 4.3090, 0.00
314.0, 3.6456, 0.02
315.0, 4.1175, 0.01
316.0, 3.7445, 0.02
317.0, 3.8850, 0.01
318.0, 3.9765, 0.01
319.0, 3.6698, 0.02
320.0, 4.2666, 0.01
321.0, 3.7844, 0.02
322.0, 3.7784, 0.02
323.0, 4.0737, 0.01
324.0, 3.6998, 0.02
325.0, 3.9360, 0.01
326.0, 4.2299, 0.01
327.0, 3.5692, 0.03
328.0, 3.9144, 0.01
329.0, 3.8108, 0.02
330.0, 3.5995, 0.03
331.0, 4.1945, 0.01
332.0, 3.6427, 0.02
333.0, 3.5769, 0.03
334.0, 4.4732, 0.00
335.0, 3.5632, 0.03
336.0, 3.7606, 0.02
337.0, 3.8507, 0.01
338.0, 3.6005, 0.03
339.0, 4.1387, 0.01
340.0, 3.3488, 0.04
341.0, 3.6577, 0.02
342.0, 3.6657, 0.02
343.0, 3.3235, 0.05
344.0, 4.2876, 0.01
345.0, 3.3954, 0.04
346.0, 3.4649, 0.03
347.0, 4.3214, 0.00
348.0, 3.2543, 0.06
349.0, 3.5679, 0.03
350.0, 3.8805, 0.01
351.0, 3.3691, 0.04
352.0, 3.6819, 0.02
353.0, 3.6157, 0.02
354.0, 3.4513, 0.04
355.0, 4.4145, 0.00
356.0, 3.5190, 0.03
357.0, 3.7288, 0.02
358.0, 4.4313, 0.00
359.0, 3.3545, 0.04
360.0, 3.6558, 0.02
361.0, 3.7339, 0.02
362.0, 3.4760, 0.03
363.0, 3.9481, 0.01
364.0, 3.5736, 0.03
365.0, 3.6316, 0.02
366.0, 4.3984, 0.00
367.0, 3.7831, 0.02
368.0, 3.5229, 0.03
369.0, 4.0465, 0.01
370.0, 2.7714, 0.17
371.0, 3.7644, 0.02
372.0, 3.7793, 0.02
373.0, 4.2711, 0.01
374.0, 3.6842, 0.02
375.0, 3.6988, 0.02
376.0, 4.3161, 0.00
377.0, 3.8548, 0.01
378.0, 3.7451, 0.02
