 WL        Abs       T%
 190.0  4.452875   0.003525
 191.0  3.269279   0.053792
 192.0  3.426105   0.037488
 193.0  3.110400   0.077553
 194.0  4.115644   0.007662
 195.0  3.641191   0.022846
 196.0  4.266890   0.005409
 197.0  3.471732   0.033750
 198.0  3.366330   0.043020
 199.0  4.411822   0.003874
 200.0  3.363503   0.043301
 201.0  2.991772   0.101913
 202.0  3.608579   0.024628
 203.0  3.639835   0.022917
 204.0  4.265596   0.005425
 205.0  3.512840   0.030702
 206.0  4.318439   0.004804
 207.0  3.739849   0.018203
 208.0  3.758779   0.017427
 209.0  4.381259   0.004157
 210.0  3.802740   0.015749
 211.0  3.726206   0.018784
 212.0  4.442966   0.003606
 213.0  3.858131   0.013863
 214.0  4.182556   0.006568
 215.0  4.188437   0.006480
 216.0  4.024048   0.009461
 217.0  4.512004   0.003076
 218.0  4.045180   0.009012
 219.0  3.832266   0.014714
 220.0  4.538951   0.002891
 221.0  4.068841   0.008534
 222.0  3.852943   0.014030
 223.0  4.556664   0.002775
 224.0  3.861582   0.013754
 225.0  4.262095   0.005469
 226.0  4.087746   0.008171
 227.0  3.963835   0.010868
 228.0  4.265349   0.005428
 229.0  3.964390   0.010855
 230.0  4.088703   0.008153
 231.0  4.564666   0.002725
 232.0  3.960542   0.010951
 233.0  3.957308   0.011033
 234.0  4.555603   0.002782
 235.0  3.851894   0.014064
 236.0  4.244611   0.005694
 237.0  4.063233   0.008645
 238.0  3.835678   0.014599
 239.0  4.529290   0.002956
 240.0  3.825452   0.014947
 241.0  3.918123   0.012075
 242.0  4.517236   0.003039
 243.0  3.815817   0.015282
 244.0  4.212255   0.006134
 245.0  4.513151   0.003068
 246.0  3.911810   0.012252
 247.0  4.515384   0.003052
 248.0  4.216100   0.006080
 249.0  3.916744   0.012113
 250.0  4.520379   0.003017
 251.0  3.822508   0.015048
 252.0  3.920084   0.012020
 253.0  4.522288   0.003004
 254.0  3.919457   0.012038
 255.0  4.218968   0.006040
 256.0  4.216548   0.006074
 257.0  3.912103   0.012243
 258.0  4.510264   0.003088
 259.0  4.028124   0.009373
 260.0  3.800566   0.015828
 261.0  4.493389   0.003211
 262.0  3.884115   0.013058
 263.0  4.001561   0.009964
 264.0  4.470808   0.003382
 265.0  3.763713   0.017230
 266.0  4.153937   0.007016
 267.0  3.969959   0.010716
 268.0  3.740426   0.018179
 269.0  4.431364   0.003704
 270.0  3.821497   0.015084
 271.0  3.814464   0.015330
 272.0  4.409747   0.003893
 273.0  3.625981   0.023660
 274.0  3.797510   0.015940
 275.0  4.395624   0.004021
 276.0  3.693639   0.020247
 277.0  4.089252   0.008142
 278.0  3.786113   0.016364
 279.0  3.784635   0.016420
 280.0  4.385177   0.004119
 281.0  3.684881   0.020659
 282.0  3.781037   0.016556
 283.0  4.382035   0.004149
 284.0  3.682055   0.020794
 285.0  4.380048   0.004168
 286.0  3.901586   0.012543
 287.0  3.599701   0.025136
 288.0  4.076113   0.008392
 289.0  4.075657   0.008401
 290.0  4.075802   0.008398
 291.0  4.075693   0.008401
 292.0  3.899638   0.012600
 293.0  3.774517   0.016807
 294.0  4.376102   0.004206
 295.0  3.773403   0.016850
 296.0  4.374217   0.004225
 297.0  4.071569   0.008481
 298.0  3.671469   0.021307
 299.0  4.367524   0.004290
 300.0  3.762791   0.017267
 301.0  4.060812   0.008693
 302.0  4.358259   0.004383
 303.0  3.877755   0.013251
 304.0  3.873747   0.013374
 305.0  4.346783   0.004500
 306.0  3.564607   0.027252
 307.0  4.037148   0.009180
 308.0  4.032901   0.009270
 309.0  4.329256   0.004685
 310.0  4.323850   0.004744
 311.0  3.716733   0.019198
 312.0  3.836598   0.014568
 313.0  4.309012   0.004909
 314.0  3.645608   0.022615
 315.0  4.117481   0.007630
 316.0  3.744516   0.018009
 317.0  3.884999   0.013032
 318.0  3.976522   0.010555
 319.0  3.669816   0.021389
 320.0  4.266620   0.005412
 321.0  3.784415   0.016428
 322.0  3.778429   0.016656
 323.0  4.073670   0.008440
 324.0  3.699838   0.019960
 325.0  3.936049   0.011586
 326.0  4.229874   0.005890
 327.0  3.569218   0.026964
 328.0  3.914356   0.012180
 329.0  3.810757   0.015461
 330.0  3.599474   0.025149
 331.0  4.194542   0.006389
 332.0  3.642676   0.022768
 333.0  3.576888   0.026492
 334.0  4.473239   0.003363
 335.0  3.563244   0.027337
 336.0  3.760634   0.017353
 337.0  3.850708   0.014102
 338.0  3.600506   0.025090
 339.0  4.138698   0.007266
 340.0  3.348840   0.044788
 341.0  3.657749   0.021991
 342.0  3.665722   0.021591
 343.0  3.323504   0.047478
 344.0  4.287622   0.005157
 345.0  3.395414   0.040233
 346.0  3.464915   0.034283
 347.0  4.321391   0.004771
 348.0  3.254306   0.055679
 349.0  3.567948   0.027043
 350.0  3.880471   0.013168
 351.0  3.369123   0.042744
 352.0  3.681875   0.020803
 353.0  3.615652   0.024230
 354.0  3.451309   0.035375
 355.0  4.414455   0.003851
 356.0  3.518974   0.030271
 357.0  3.728776   0.018673
 358.0  4.431300   0.003704
 359.0  3.354493   0.044209
 360.0  3.655811   0.022090
 361.0  3.733871   0.018456
 362.0  3.476026   0.033417
 363.0  3.948120   0.011269
 364.0  3.573601   0.026693
 365.0  3.631579   0.023357
 366.0  4.398391   0.003996
 367.0  3.783064   0.016479
 368.0  3.522910   0.029998
 369.0  4.046476   0.008985
 370.0  2.771383   0.169284
 371.0  3.764350   0.017205
 372.0  3.779284   0.016623
