Sample Name, AL1
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 2.9243, 0.12
191.0, 2.6971, 0.20
192.0, 2.9505, 0.11
193.0, 2.7722, 0.17
194.0, 3.2134, 0.06
195.0, 3.3732, 0.04
196.0, 3.3131, 0.05
197.0, 3.2380, 0.06
198.0, 3.1113, 0.08
199.0, 3.5670, 0.03
200.0, 3.2387, 0.06
201.0, 2.8460, 0.14
202.0, 3.3654, 0.04
203.0, 3.3969, 0.04
204.0, 3.7884, 0.02
205.0, 3.3879, 0.04
206.0, 3.6196, 0.02
207.0, 3.8647, 0.01
208.0, 3.2147, 0.06
209.0, 3.9042, 0.01
210.0, 3.5596, 0.03
211.0, 3.4712, 0.03
212.0, 4.1420, 0.01
213.0, 3.4188, 0.04
214.0, 3.5729, 0.03
215.0, 4.0123, 0.01
216.0, 3.5470, 0.03
217.0, 3.8132, 0.02
218.0, 3.8232, 0.02
219.0, 3.5769, 0.03
220.0, 3.9368, 0.01
221.0, 3.7677, 0.02
222.0, 3.6490, 0.02
223.0, 4.0795, 0.01
224.0, 3.6063, 0.02
225.0, 3.7850, 0.02
226.0, 4.0876, 0.01
227.0, 3.5659, 0.03
228.0, 4.2654, 0.01
229.0, 3.8673, 0.01
230.0, 3.5658, 0.03
231.0, 3.9625, 0.01
232.0, 3.6594, 0.02
233.0, 3.5595, 0.03
234.0, 3.9535, 0.01
235.0, 3.5098, 0.03
236.0, 3.7678, 0.02
237.0, 4.2393, 0.01
238.0, 3.5805, 0.03
239.0, 4.2281, 0.01
240.0, 3.6793, 0.02
241.0, 3.5661, 0.03
242.0, 4.0400, 0.01
243.0, 3.5607, 0.03
244.0, 3.6685, 0.02
245.0, 4.0362, 0.01
246.0, 3.4351, 0.04
247.0, 3.7374, 0.02
248.0, 3.9152, 0.01
249.0, 3.5192, 0.03
250.0, 4.0434, 0.01
251.0, 3.6768, 0.02
252.0, 3.5225, 0.03
253.0, 3.9204, 0.01
254.0, 3.5675, 0.03
255.0, 3.6171, 0.02
256.0, 4.0405, 0.01
257.0, 3.6114, 0.02
258.0, 4.0332, 0.01
259.0, 3.7274, 0.02
260.0, 3.6549, 0.02
261.0, 3.7945, 0.02
262.0, 3.5324, 0.03
263.0, 3.4790, 0.03
264.0, 3.9939, 0.01
265.0, 3.5089, 0.03
266.0, 3.5521, 0.03
267.0, 3.9703, 0.01
268.0, 3.5367, 0.03
269.0, 3.9543, 0.01
270.0, 3.5788, 0.03
271.0, 3.4168, 0.04
272.0, 3.8079, 0.02
273.0, 3.5015, 0.03
274.0, 3.6216, 0.02
275.0, 3.7938, 0.02
276.0, 3.4899, 0.03
277.0, 3.7884, 0.02
278.0, 3.7866, 0.02
279.0, 3.3870, 0.04
280.0, 3.7834, 0.02
281.0, 3.5392, 0.03
282.0, 3.4292, 0.04
283.0, 3.7803, 0.02
284.0, 3.4785, 0.03
285.0, 3.5353, 0.03
286.0, 3.9021, 0.01
287.0, 3.4752, 0.03
288.0, 3.6786, 0.02
289.0, 3.7753, 0.02
290.0, 3.4741, 0.03
291.0, 4.0759, 0.01
292.0, 3.4740, 0.03
293.0, 3.4738, 0.03
294.0, 3.8995, 0.01
295.0, 3.4726, 0.03
296.0, 3.6755, 0.02
297.0, 3.7710, 0.02
298.0, 3.3706, 0.04
299.0, 4.0668, 0.01
300.0, 3.5201, 0.03
301.0, 3.3207, 0.05
302.0, 3.8816, 0.01
303.0, 3.3139, 0.05
304.0, 3.2720, 0.05
305.0, 3.4441, 0.04
306.0, 3.1127, 0.08
307.0, 3.1626, 0.07
308.0, 3.1040, 0.08
309.0, 2.8825, 0.13
310.0, 2.9093, 0.12
311.0, 2.7282, 0.19
312.0, 2.6514, 0.22
313.0, 2.7530, 0.18
314.0, 2.4573, 0.35
315.0, 2.4160, 0.38
316.0, 2.3067, 0.49
317.0, 2.2479, 0.57
318.0, 2.1969, 0.64
319.0, 2.1080, 0.78
320.0, 2.0739, 0.84
321.0, 2.0226, 0.95
322.0, 1.9591, 1.10
323.0, 1.9340, 1.16
324.0, 1.8787, 1.32
325.0, 1.8377, 1.45
326.0, 1.8176, 1.52
327.0, 1.7747, 1.68
328.0, 1.7510, 1.77
329.0, 1.7212, 1.90
330.0, 1.6855, 2.06
331.0, 1.6717, 2.13
332.0, 1.6412, 2.28
333.0, 1.6141, 2.43
334.0, 1.6023, 2.50
335.0, 1.5795, 2.63
336.0, 1.5647, 2.72
337.0, 1.5552, 2.78
338.0, 1.5332, 2.93
339.0, 1.5248, 2.99
340.0, 1.4952, 3.20
341.0, 1.5029, 3.14
342.0, 1.4830, 3.29
343.0, 1.4755, 3.35
344.0, 1.4680, 3.40
345.0, 1.4533, 3.52
346.0, 1.4554, 3.50
347.0, 1.4473, 3.57
348.0, 1.4375, 3.65
349.0, 1.4418, 3.62
350.0, 1.4324, 3.69
351.0, 1.4257, 3.75
352.0, 1.4292, 3.72
353.0, 1.4171, 3.83
354.0, 1.4175, 3.82
355.0, 1.4154, 3.84
356.0, 1.4060, 3.93
357.0, 1.4111, 3.88
358.0, 1.4068, 3.92
359.0, 1.4012, 3.97
360.0, 1.4061, 3.93
361.0, 1.3983, 4.00
362.0, 1.3970, 4.01
363.0, 1.4004, 3.98
364.0, 1.3936, 4.04
365.0, 1.3959, 4.02
366.0, 1.3965, 4.01
367.0, 1.3901, 4.07
368.0, 1.3962, 4.02
369.0, 1.3897, 4.08
370.0, 1.3726, 4.24
371.0, 1.3965, 4.01
372.0, 1.4003, 3.98
373.0, 1.4017, 3.97
374.0, 1.3992, 3.99
375.0, 1.4033, 3.95
