 WL        Abs       T%
 190.0  2.924295   0.119043
 191.0  2.697074   0.200875
 192.0  2.950500   0.112073
 193.0  2.772154   0.168984
 194.0  3.213402   0.061178
 195.0  3.373152   0.042349
 196.0  3.313094   0.048630
 197.0  3.237962   0.057815
 198.0  3.111337   0.077386
 199.0  3.567009   0.027101
 200.0  3.238658   0.057722
 201.0  2.845969   0.142571
 202.0  3.365354   0.043117
 203.0  3.396946   0.040092
 204.0  3.788428   0.016277
 205.0  3.387879   0.040937
 206.0  3.619553   0.024013
 207.0  3.864709   0.013655
 208.0  3.214674   0.060999
 209.0  3.904247   0.012467
 210.0  3.559582   0.027569
 211.0  3.471210   0.033790
 212.0  4.141999   0.007211
 213.0  3.418798   0.038124
 214.0  3.572944   0.026734
 215.0  4.012289   0.009721
 216.0  3.546981   0.028380
 217.0  3.813154   0.015376
 218.0  3.823174   0.015025
 219.0  3.576891   0.026492
 220.0  3.936828   0.011566
 221.0  3.767725   0.017072
 222.0  3.648957   0.022441
 223.0  4.079531   0.008327
 224.0  3.606262   0.024759
 225.0  3.785010   0.016406
 226.0  4.087628   0.008173
 227.0  3.565931   0.027169
 228.0  4.265384   0.005428
 229.0  3.867326   0.013573
 230.0  3.565813   0.027176
 231.0  3.962488   0.010902
 232.0  3.659441   0.021906
 233.0  3.559476   0.027576
 234.0  3.953458   0.011131
 235.0  3.509777   0.030919
 236.0  3.767774   0.017070
 237.0  4.239300   0.005764
 238.0  3.580494   0.026273
 239.0  4.228118   0.005914
 240.0  3.679298   0.020927
 241.0  3.566136   0.027156
 242.0  4.039983   0.009120
 243.0  3.560730   0.027496
 244.0  3.668453   0.021456
 245.0  4.036203   0.009200
 246.0  3.435114   0.036719
 247.0  3.737352   0.018308
 248.0  3.915202   0.012156
 249.0  3.519159   0.030258
 250.0  4.043375   0.009049
 251.0  3.676824   0.021046
 252.0  3.522536   0.030024
 253.0  3.920437   0.012011
 254.0  3.567549   0.027068
 255.0  3.617092   0.024149
 256.0  4.040484   0.009110
 257.0  3.611405   0.024468
 258.0  4.033196   0.009264
 259.0  3.727392   0.018733
 260.0  3.654850   0.022139
 261.0  3.794516   0.016050
 262.0  3.532387   0.029350
 263.0  3.478985   0.033191
 264.0  3.993892   0.010142
 265.0  3.508934   0.030979
 266.0  3.552121   0.028047
 267.0  3.970316   0.010707
 268.0  3.536669   0.029062
 269.0  3.954275   0.011110
 270.0  3.578836   0.026373
 271.0  3.416824   0.038298
 272.0  3.807924   0.015562
 273.0  3.501470   0.031516
 274.0  3.621592   0.023901
 275.0  3.793825   0.016076
 276.0  3.489906   0.032366
 277.0  3.788416   0.016277
 278.0  3.786592   0.016346
 279.0  3.386998   0.041021
 280.0  3.783421   0.016466
 281.0  3.539237   0.028891
 282.0  3.429160   0.037225
 283.0  3.780317   0.016584
 284.0  3.478477   0.033229
 285.0  3.535258   0.029157
 286.0  3.902076   0.012529
 287.0  3.475217   0.033480
 288.0  3.678573   0.020962
 289.0  3.775264   0.016778
 290.0  3.474107   0.033565
 291.0  4.075930   0.008396
 292.0  3.474034   0.033571
 293.0  3.473834   0.033587
 294.0  3.899456   0.012605
 295.0  3.472610   0.033681
 296.0  3.675467   0.021112
 297.0  3.770962   0.016945
 298.0  3.370643   0.042595
 299.0  4.066773   0.008575
 300.0  3.520109   0.030192
 301.0  3.320713   0.047785
 302.0  3.881575   0.013135
 303.0  3.313925   0.048537
 304.0  3.271996   0.053457
 305.0  3.444084   0.035968
 306.0  3.112743   0.077136
 307.0  3.162624   0.068766
 308.0  3.104025   0.078700
 309.0  2.882484   0.131074
 310.0  2.909268   0.123234
 311.0  2.728229   0.186970
 312.0  2.651362   0.223171
 313.0  2.753030   0.176592
 314.0  2.457283   0.348913
 315.0  2.416034   0.383677
 316.0  2.306749   0.493459
 317.0  2.247860   0.565119
 318.0  2.196931   0.635431
 319.0  2.108034   0.779769
 320.0  2.073906   0.843516
 321.0  2.022617   0.949255
 322.0  1.959126   1.098688
 323.0  1.933974   1.164197
 324.0  1.878703   1.322201
 325.0  1.837707   1.453093
 326.0  1.817579   1.522021
 327.0  1.774706   1.679943
 328.0  1.751026   1.774085
 329.0  1.721174   1.900318
 330.0  1.685462   2.063183
 331.0  1.671738   2.129426
 332.0  1.641229   2.284396
 333.0  1.614093   2.431681
 334.0  1.602323   2.498486
 335.0  1.579546   2.633016
 336.0  1.564734   2.724370
 337.0  1.555232   2.784631
 338.0  1.533209   2.929484
 339.0  1.524808   2.986701
 340.0  1.495214   3.197317
 341.0  1.502866   3.141476
 342.0  1.482991   3.288586
 343.0  1.475545   3.345450
 344.0  1.468003   3.404058
 345.0  1.453310   3.521197
 346.0  1.455398   3.504306
 347.0  1.447303   3.570236
 348.0  1.437485   3.651868
 349.0  1.441833   3.615489
 350.0  1.432412   3.694775
 351.0  1.425709   3.752241
 352.0  1.429150   3.722630
 353.0  1.417133   3.827075
 354.0  1.417504   3.823806
 355.0  1.415425   3.842160
 356.0  1.405958   3.926830
 357.0  1.411053   3.881032
 358.0  1.406789   3.919319
 359.0  1.401180   3.970269
