Sample Name, GLASS
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 2.3452, 0.45
191.0, 3.8732, 0.01
192.0, 2.5825, 0.26
193.0, 3.0152, 0.10
194.0, 2.7841, 0.16
195.0, 2.9556, 0.11
196.0, 2.8694, 0.14
197.0, 3.0384, 0.09
198.0, 3.2205, 0.06
199.0, 2.9649, 0.11
200.0, 3.2387, 0.06
201.0, 2.8782, 0.13
202.0, 3.3074, 0.05
203.0, 3.4639, 0.03
204.0, 3.2242, 0.06
205.0, 3.5920, 0.03
206.0, 3.2810, 0.05
207.0, 3.3004, 0.05
208.0, 3.5827, 0.03
209.0, 3.2674, 0.05
210.0, 3.4504, 0.04
211.0, 3.5804, 0.03
212.0, 3.3291, 0.05
213.0, 3.6151, 0.02
214.0, 3.5729, 0.03
215.0, 3.3755, 0.04
216.0, 3.8023, 0.02
217.0, 3.4707, 0.03
218.0, 3.5679, 0.03
219.0, 3.6860, 0.02
220.0, 3.4597, 0.03
221.0, 3.6428, 0.02
222.0, 3.7069, 0.02
223.0, 3.4105, 0.04
224.0, 3.7154, 0.02
225.0, 3.5218, 0.03
226.0, 3.4856, 0.03
227.0, 3.6628, 0.02
228.0, 3.4872, 0.03
229.0, 3.4871, 0.03
230.0, 3.5658, 0.03
231.0, 3.3341, 0.05
232.0, 3.5625, 0.03
233.0, 3.5595, 0.03
234.0, 3.3514, 0.04
235.0, 3.4720, 0.03
236.0, 3.4667, 0.03
237.0, 3.3642, 0.04
238.0, 3.4933, 0.03
239.0, 3.2987, 0.05
240.0, 3.3783, 0.04
241.0, 3.4412, 0.04
242.0, 3.2867, 0.05
243.0, 3.4358, 0.04
244.0, 3.3674, 0.04
245.0, 3.3092, 0.05
246.0, 3.5601, 0.03
247.0, 3.2851, 0.05
248.0, 3.3412, 0.05
249.0, 3.5649, 0.03
250.0, 3.3164, 0.05
251.0, 3.3758, 0.04
252.0, 3.4811, 0.03
253.0, 3.4086, 0.04
254.0, 3.4804, 0.03
255.0, 3.4788, 0.03
256.0, 3.5176, 0.03
257.0, 3.6114, 0.02
258.0, 3.3342, 0.05
259.0, 3.4264, 0.04
260.0, 3.6549, 0.02
261.0, 3.3474, 0.04
262.0, 3.5324, 0.03
263.0, 3.5247, 0.03
264.0, 3.2406, 0.06
265.0, 3.7642, 0.02
266.0, 3.4138, 0.04
267.0, 3.3335, 0.05
268.0, 3.8377, 0.01
269.0, 3.3175, 0.05
270.0, 3.4239, 0.04
271.0, 3.4626, 0.03
272.0, 3.2639, 0.05
273.0, 3.5595, 0.03
274.0, 3.3997, 0.04
275.0, 3.3545, 0.04
276.0, 3.6940, 0.02
277.0, 3.3113, 0.05
278.0, 3.3095, 0.05
279.0, 3.9099, 0.01
280.0, 3.3063, 0.05
281.0, 3.5392, 0.03
282.0, 3.6053, 0.02
283.0, 3.3410, 0.05
284.0, 3.5365, 0.03
285.0, 3.4261, 0.04
286.0, 3.2653, 0.05
287.0, 3.5332, 0.03
288.0, 3.2984, 0.05
289.0, 3.3773, 0.04
290.0, 3.4741, 0.03
291.0, 3.3356, 0.05
292.0, 3.4740, 0.03
293.0, 3.4738, 0.03
294.0, 3.2626, 0.05
295.0, 3.4726, 0.03
296.0, 3.2605, 0.05
297.0, 3.1969, 0.06
298.0, 3.2567, 0.06
299.0, 3.0254, 0.09
300.0, 2.9338, 0.12
301.0, 2.8306, 0.15
302.0, 2.6028, 0.25
303.0, 2.5102, 0.31
304.0, 2.3383, 0.46
305.0, 2.1682, 0.68
306.0, 2.0465, 0.90
307.0, 1.8994, 1.26
308.0, 1.7674, 1.71
309.0, 1.6529, 2.22
310.0, 1.5284, 2.96
311.0, 1.4184, 3.82
312.0, 1.3167, 4.82
313.0, 1.2345, 5.83
314.0, 1.1297, 7.42
315.0, 1.0453, 9.01
316.0, 0.9700, 10.71
317.0, 0.8949, 12.74
318.0, 0.8262, 14.92
319.0, 0.7655, 17.16
320.0, 0.7077, 19.60
321.0, 0.6576, 22.00
322.0, 0.6106, 24.51
323.0, 0.5654, 27.20
324.0, 0.5254, 29.83
325.0, 0.4883, 32.49
326.0, 0.4543, 35.13
327.0, 0.4251, 37.58
328.0, 0.3968, 40.11
329.0, 0.3682, 42.83
330.0, 0.3419, 45.51
331.0, 0.3161, 48.29
332.0, 0.2925, 51.00
333.0, 0.2711, 53.57
334.0, 0.2519, 55.98
335.0, 0.2356, 58.13
336.0, 0.2201, 60.24
337.0, 0.2064, 62.17
338.0, 0.1943, 63.94
339.0, 0.1833, 65.57
340.0, 0.1701, 67.60
341.0, 0.1598, 69.21
342.0, 0.1509, 70.64
343.0, 0.1423, 72.06
344.0, 0.1345, 73.36
345.0, 0.1282, 74.44
346.0, 0.1215, 75.60
347.0, 0.1161, 76.54
348.0, 0.1108, 77.48
349.0, 0.1061, 78.32
350.0, 0.1024, 78.99
351.0, 0.0987, 79.67
352.0, 0.0949, 80.38
353.0, 0.0912, 81.05
354.0, 0.0875, 81.75
355.0, 0.0845, 82.33
356.0, 0.0821, 82.77
357.0, 0.0796, 83.25
358.0, 0.0779, 83.59
359.0, 0.0761, 83.93
360.0, 0.0743, 84.27
361.0, 0.0728, 84.56
362.0, 0.0716, 84.79
363.0, 0.0704, 85.03
364.0, 0.0697, 85.17
365.0, 0.0685, 85.41
366.0, 0.0678, 85.54
367.0, 0.0677, 85.57
368.0, 0.0669, 85.73
369.0, 0.0667, 85.76
370.0, 0.0674, 85.62
371.0, 0.0710, 84.91
372.0, 0.0710, 84.92
373.0, 0.0721, 84.71
374.0, 0.0720, 84.73
375.0, 0.0731, 84.50
376.0, 0.0742, 84.30
377.0, 0.0746, 84.22
378.0, 0.0754, 84.06
379.0, 0.0756, 84.03
380.0, 0.0755, 84.05
381.0, 0.0753, 84.07
382.0, 0.0743, 84.27
383.0, 0.0734, 84.45
384.0, 0.0726, 84.61
385.0, 0.0711, 84.89
386.0, 0.0704, 85.03
387.0, 0.0694, 85.23
388.0, 0.0682, 85.47
389.0, 0.0675, 85.61
390.0, 0.0664, 85.82
391.0, 0.0659, 85.93
392.0, 0.0650, 86.10
393.0, 0.0643, 86.25
394.0, 0.0637, 86.35
395.0, 0.0632, 86.46
396.0, 0.0627, 86.55
397.0, 0.0625, 86.61
398.0, 0.0620, 86.70
399.0, 0.0620, 86.70
400.0, 0.0617, 86.75
401.0, 0.0615, 86.80
402.0, 0.0614, 86.82
403.0, 0.0611, 86.87
404.0, 0.0613, 86.84
405.0, 0.0613, 86.83
406.0, 0.0610, 86.89
407.0, 0.0613, 86.85
408.0, 0.0614, 86.82
409.0, 0.0613, 86.84
410.0, 0.0614, 86.81
411.0, 0.0615, 86.80
412.0, 0.0615, 86.79
413.0, 0.0617, 86.76
414.0, 0.0614, 86.82
415.0, 0.0616, 86.77
416.0, 0.0616, 86.77
417.0, 0.0615, 86.79
418.0, 0.0616, 86.78
419.0, 0.0615, 86.80
420.0, 0.0615, 86.80
421.0, 0.0616, 86.78
422.0, 0.0615, 86.80
423.0, 0.0614, 86.81
424.0, 0.0615, 86.79
425.0, 0.0614, 86.82
426.0, 0.0613, 86.83
427.0, 0.0614, 86.82
428.0, 0.0613, 86.83
429.0, 0.0615, 86.81
430.0, 0.0614, 86.82
431.0, 0.0613, 86.84
432.0, 0.0615, 86.79
433.0, 0.0614, 86.81
434.0, 0.0615, 86.79
435.0, 0.0615, 86.79
436.0, 0.0615, 86.80
437.0, 0.0616, 86.77
438.0, 0.0616, 86.78
439.0, 0.0615, 86.79
440.0, 0.0616, 86.78
441.0, 0.0616, 86.78
442.0, 0.0615, 86.80
443.0, 0.0615, 86.81
444.0, 0.0613, 86.84
445.0, 0.0614, 86.81
446.0, 0.0613, 86.84
447.0, 0.0609, 86.91
448.0, 0.0610, 86.89
449.0, 0.0609, 86.91
450.0, 0.0609, 86.92
451.0, 0.0532, 88.46
