 WL        Abs       T%
 190.0  2.345184   0.451665
 191.0  3.873166   0.013392
 192.0  2.582523   0.261503
 193.0  3.015192   0.096562
 194.0  2.784053   0.164417
 195.0  2.955617   0.110760
 196.0  2.869396   0.135084
 197.0  3.038390   0.091540
 198.0  3.220482   0.060189
 199.0  2.964950   0.108405
 200.0  3.238658   0.057722
 201.0  2.878153   0.132387
 202.0  3.307363   0.049276
 203.0  3.463893   0.034364
 204.0  3.224156   0.059682
 205.0  3.591999   0.025586
 206.0  3.281036   0.052356
 207.0  3.300437   0.050068
 208.0  3.582650   0.026143
 209.0  3.267425   0.054023
 210.0  3.450437   0.035446
 211.0  3.580355   0.026281
 212.0  3.329085   0.046872
 213.0  3.615093   0.024261
 214.0  3.572944   0.026734
 215.0  3.375467   0.042124
 216.0  3.802254   0.015767
 217.0  3.470731   0.033827
 218.0  3.567902   0.027046
 219.0  3.686036   0.020605
 220.0  3.459707   0.034697
 221.0  3.642786   0.022762
 222.0  3.706949   0.019636
 223.0  3.410524   0.038858
 224.0  3.715406   0.019257
 225.0  3.521768   0.030077
 226.0  3.485568   0.032691
 227.0  3.662841   0.021735
 228.0  3.487233   0.032566
 229.0  3.487115   0.032575
 230.0  3.565813   0.027176
 231.0  3.334099   0.046334
 232.0  3.562531   0.027382
 233.0  3.559476   0.027576
 234.0  3.351398   0.044525
 235.0  3.471988   0.033730
 236.0  3.466744   0.034139
 237.0  3.364238   0.043228
 238.0  3.493344   0.032111
 239.0  3.298699   0.050269
 240.0  3.378268   0.041853
 241.0  3.441197   0.036208
 242.0  3.286655   0.051683
 243.0  3.435791   0.036661
 244.0  3.367423   0.042912
 245.0  3.309204   0.049068
 246.0  3.560053   0.027539
 247.0  3.285054   0.051874
 248.0  3.341171   0.045586
 249.0  3.564916   0.027232
 250.0  3.316377   0.048264
 251.0  3.375794   0.042093
 252.0  3.481143   0.033026
 253.0  3.408553   0.039034
 254.0  3.480399   0.033083
 255.0  3.478790   0.033206
 256.0  3.517605   0.030367
 257.0  3.611405   0.024468
 258.0  3.334226   0.046321
 259.0  3.426362   0.037466
 260.0  3.654850   0.022139
 261.0  3.347358   0.044941
 262.0  3.532387   0.029350
 263.0  3.524742   0.029872
 264.0  3.240564   0.057469
 265.0  3.764206   0.017211
 266.0  3.413818   0.038564
 267.0  3.333494   0.046399
 268.0  3.837699   0.014531
 269.0  3.317453   0.048145
 270.0  3.423934   0.037676
 271.0  3.462581   0.034468
 272.0  3.263856   0.054468
 273.0  3.559462   0.027576
 274.0  3.399743   0.039834
 275.0  3.354493   0.044209
 276.0  3.694026   0.020229
 277.0  3.311295   0.048832
 278.0  3.309471   0.049038
 279.0  3.909877   0.012306
 280.0  3.306300   0.049397
 281.0  3.539237   0.028891
 282.0  3.605251   0.024817
 283.0  3.340985   0.045605
 284.0  3.536468   0.029076
 285.0  3.426114   0.037487
 286.0  3.265254   0.054293
 287.0  3.533209   0.029295
 288.0  3.298362   0.050308
 289.0  3.377325   0.041945
 290.0  3.474107   0.033565
 291.0  3.335567   0.046178
 292.0  3.474034   0.033571
 293.0  3.473834   0.033587
 294.0  3.262634   0.054622
 295.0  3.472610   0.033681
 296.0  3.260494   0.054892
 297.0  3.196931   0.063543
 298.0  3.256699   0.055373
 299.0  3.025380   0.094323
 300.0  2.933843   0.116455
 301.0  2.830626   0.147698
 302.0  2.602821   0.249562
 303.0  2.510219   0.308874
 304.0  2.338341   0.458838
 305.0  2.168197   0.678896
 306.0  2.046527   0.898407
 307.0  1.899383   1.260716
 308.0  1.767448   1.708254
 309.0  1.652948   2.223574
 310.0  1.528361   2.962366
 311.0  1.418380   3.816098
 312.0  1.316734   4.822433
 313.0  1.234516   5.827528
 314.0  1.129740   7.417540
 315.0  1.045272   9.010062
 316.0  0.970018  10.714746
 317.0  0.894922  12.737310
 318.0  0.826209  14.920768
 319.0  0.765544  17.157581
 320.0  0.707723  19.600948
 321.0  0.657637  21.996988
 322.0  0.610614  24.512392
 323.0  0.565368  27.203957
 324.0  0.525357  29.829311
 325.0  0.488301  32.486176
 326.0  0.454284  35.133064
 327.0  0.425059  37.578606
 328.0  0.396779  40.107113
 329.0  0.368223  42.832859
 330.0  0.341869  45.512497
 331.0  0.316111  48.293579
 332.0  0.292450  50.997593
 333.0  0.271053  53.573090
 334.0  0.251950  55.982246
 335.0  0.235616  58.127850
 336.0  0.220129  60.238079
 337.0  0.206410  62.171299
 338.0  0.194251  63.936546
 339.0  0.183299  65.569359
 340.0  0.170076  67.596428
 341.0  0.159823  69.211349
 342.0  0.150950  70.639931
 343.0  0.142296  72.061546
 344.0  0.134542  73.359779
 345.0  0.128209  74.437408
 346.0  0.121495  75.597099
 347.0  0.116093  76.543221
 348.0  0.110801  77.481697
 349.0  0.106124  78.320572
 350.0  0.102437  78.988426
 351.0  0.098693  79.672142
 352.0  0.094867  80.377251
 353.0  0.091225  81.054161
 354.0  0.087499  81.752510
 355.0  0.084455  82.327599
 356.0  0.082149  82.765785
 357.0  0.079626  83.248116
 358.0  0.077865  83.586235
 359.0  0.076076  83.931259
 360.0  0.074349  84.265656
 361.0  0.072833  84.560379
 362.0  0.071637  84.793648
 363.0  0.070426  85.030357
 364.0  0.069737  85.165443
 365.0  0.068477  85.412781
 366.0  0.067805  85.544991
 367.0  0.067671  85.571457
 368.0  0.066879  85.727730
 369.0  0.066703  85.762329
 370.0  0.067402  85.624512
 371.0  0.071034  84.911453
 372.0  0.070989  84.920151
 373.0  0.072061  84.710808
 374.0  0.071970  84.728554
 375.0  0.073143  84.499985
 376.0  0.074155  84.303322
 377.0  0.074605  84.216103
 378.0  0.075436  84.055130
 379.0  0.075566  84.029900
 380.0  0.075456  84.051163
 381.0  0.075346  84.072533
 382.0  0.074329  84.269608
 383.0  0.073398  84.450409
 384.0  0.072561  84.613411
 385.0  0.071124  84.893768
 386.0  0.070404  85.034767
 387.0  0.069390  85.233521
 388.0  0.068164  85.474319
 389.0  0.067479  85.609238
 390.0  0.066396  85.823105
 391.0  0.065859  85.929207
 392.0  0.064992  86.100945
 393.0  0.064253  86.247673
 394.0  0.063727  86.352211
 395.0  0.063162  86.464561
 396.0  0.062741  86.548363
 397.0  0.062451  86.606178
 398.0  0.061974  86.701439
 399.0  0.061967  86.702843
 400.0  0.061728  86.750595
 401.0  0.061461  86.803932
 402.0  0.061381  86.819801
 403.0  0.061108  86.874435
 404.0  0.061277  86.840729
 405.0  0.061331  86.829811
 406.0  0.061023  86.891441
 407.0  0.061251  86.845924
 408.0  0.061364  86.823326
 409.0  0.061265  86.843040
 410.0  0.061431  86.809814
 411.0  0.061492  86.797615
 412.0  0.061508  86.794472
 413.0  0.061667  86.762764
 414.0  0.061392  86.817703
 415.0  0.061633  86.769409
 416.0  0.061639  86.768265
 417.0  0.061532  86.789589
 418.0  0.061579  86.780342
 419.0  0.061486  86.798759
 420.0  0.061505  86.795113
 421.0  0.061589  86.778275
 422.0  0.061459  86.804169
 423.0  0.061430  86.810127
 424.0  0.061537  86.788704
 425.0  0.061403  86.815437
 426.0  0.061339  86.828163
 427.0  0.061379  86.820183
 428.0  0.061335  86.829117
 429.0  0.061454  86.805290
 430.0  0.061369  86.822205
 431.0  0.061299  86.836151
 432.0  0.061541  86.787872
 433.0  0.061433  86.809532
 434.0  0.061512  86.793587
 435.0  0.061515  86.792992
 436.0  0.061461  86.803833
 437.0  0.061630  86.770081
 438.0  0.061597  86.776749
 439.0  0.061516  86.792854
 440.0  0.061578  86.780418
 441.0  0.061581  86.779869
 442.0  0.061493  86.797356
 443.0  0.061454  86.805336
 444.0  0.061268  86.842468
 445.0  0.061434  86.809174
 446.0  0.061274  86.841248
 447.0  0.060929  86.910187
 448.0  0.061038  86.888512
 449.0  0.060948  86.906471
 450.0  0.060895  86.917038
 451.0  0.053248  88.460999
 452.0  0.053208  88.469208
 453.0  0.053004  88.510643
 454.0  0.052873  88.537422
 455.0  0.052672  88.578453
 456.0  0.052393  88.635414
 457.0  0.052356  88.642906
 458.0  0.052330  88.648239
 459.0  0.051958  88.724091
 460.0  0.051939  88.728157
 461.0  0.051939  88.728111
 462.0  0.051608  88.795670
 463.0  0.051542  88.809250
 464.0  0.051519  88.813980
 465.0  0.051384  88.841576
 466.0  0.051353  88.847870
 467.0  0.051130  88.893387
 468.0  0.051153  88.888878
 469.0  0.051048  88.910202
 470.0  0.051014  88.917183
 471.0  0.050956  88.929169
 472.0  0.050929  88.934662
 473.0  0.050772  88.966743
 474.0  0.050685  88.984718
 475.0  0.050539  89.014595
 476.0  0.050445  89.033752
 477.0  0.050577  89.006828
 478.0  0.050357  89.051765
 479.0  0.050398  89.043457
 480.0  0.050333  89.056824
 481.0  0.050237  89.076485
 482.0  0.050158  89.092598
 483.0  0.050140  89.096436
 484.0  0.050070  89.110741
 485.0  0.050084  89.107933
 486.0  0.049870  89.151871
 487.0  0.049858  89.154221
 488.0  0.050029  89.119209
 489.0  0.049994  89.126404
 490.0  0.049986  89.128036
 491.0  0.049853  89.155296
 492.0  0.049739  89.178741
 493.0  0.049691  89.188538
