[s],CH1[V]
-1.1956E-01,2.51910E+00
-1.1952E-01,2.51910E+00
-1.1948E-01,2.50910E+00
-1.1944E-01,2.51910E+00
-1.1940E-01,2.51910E+00
-1.1936E-01,2.52910E+00
-1.1932E-01,2.53910E+00
-1.1928E-01,2.51910E+00
-1.1924E-01,2.51910E+00
-1.1920E-01,2.51910E+00
-1.1916E-01,2.51910E+00
-1.1912E-01,2.51910E+00
-1.1908E-01,2.51910E+00
-1.1904E-01,2.51910E+00
-1.1900E-01,2.50910E+00
-1.1896E-01,2.50910E+00
-1.1892E-01,2.50910E+00
-1.1888E-01,2.50910E+00
-1.1884E-01,2.50910E+00
-1.1880E-01,2.51910E+00
-1.1876E-01,2.51910E+00
-1.1872E-01,2.51910E+00
-1.1868E-01,2.50910E+00
-1.1864E-01,2.49910E+00
-1.1860E-01,2.49910E+00
-1.1856E-01,2.49910E+00
-1.1852E-01,2.50910E+00
-1.1848E-01,2.49910E+00
-1.1844E-01,2.50910E+00
-1.1840E-01,2.49910E+00
-1.1836E-01,2.49910E+00
-1.1832E-01,2.48910E+00
-1.1828E-01,2.48910E+00
-1.1824E-01,2.48910E+00
-1.1820E-01,2.49910E+00
-1.1816E-01,2.47910E+00
-1.1812E-01,2.49910E+00
-1.1808E-01,2.48910E+00
-1.1804E-01,2.48910E+00
-1.1800E-01,2.47910E+00
-1.1796E-01,2.48910E+00
-1.1792E-01,2.48910E+00
-1.1788E-01,2.48910E+00
-1.1784E-01,2.47910E+00
-1.1780E-01,2.48910E+00
-1.1776E-01,2.47910E+00
-1.1772E-01,2.48910E+00
-1.1768E-01,2.46910E+00
-1.1764E-01,2.47910E+00
-1.1760E-01,2.45910E+00
-1.1756E-01,2.46910E+00
-1.1752E-01,2.45910E+00
-1.1748E-01,2.46910E+00
-1.1744E-01,2.46910E+00
-1.1740E-01,2.47910E+00
-1.1736E-01,2.46910E+00
-1.1732E-01,2.44910E+00
-1.1728E-01,2.45910E+00
-1.1724E-01,2.44910E+00
-1.1720E-01,2.44910E+00
-1.1716E-01,2.44910E+00
-1.1712E-01,2.44910E+00
-1.1708E-01,2.46910E+00
-1.1704E-01,2.45910E+00
-1.1700E-01,2.44910E+00
-1.1696E-01,2.45910E+00
-1.1692E-01,2.44910E+00
-1.1688E-01,2.44910E+00
-1.1684E-01,2.44910E+00
-1.1680E-01,2.44910E+00
-1.1676E-01,2.44910E+00
-1.1672E-01,2.44910E+00
-1.1668E-01,2.42910E+00
-1.1664E-01,2.44910E+00
-1.1660E-01,2.43910E+00
-1.1656E-01,2.40910E+00
-1.1652E-01,2.43910E+00
-1.1648E-01,2.41910E+00
-1.1644E-01,2.42910E+00
-1.1640E-01,2.42910E+00
-1.1636E-01,2.40910E+00
-1.1632E-01,2.42910E+00
-1.1628E-01,2.41910E+00
-1.1624E-01,2.42910E+00
-1.1620E-01,2.41910E+00
-1.1616E-01,2.43910E+00
-1.1612E-01,2.41910E+00
-1.1608E-01,2.40910E+00
-1.1604E-01,2.43910E+00
-1.1600E-01,2.42910E+00
-1.1596E-01,2.40910E+00
-1.1592E-01,2.41910E+00
-1.1588E-01,2.41910E+00
-1.1584E-01,2.40910E+00
-1.1580E-01,2.39910E+00
-1.1576E-01,2.41910E+00
-1.1572E-01,2.41910E+00
-1.1568E-01,2.39910E+00
-1.1564E-01,2.39910E+00
-1.1560E-01,2.39910E+00
-1.1556E-01,2.39910E+00
-1.1552E-01,2.40910E+00
-1.1548E-01,2.39910E+00
-1.1544E-01,2.39910E+00
-1.1540E-01,2.40910E+00
-1.1536E-01,2.38910E+00
-1.1532E-01,2.39910E+00
-1.1528E-01,2.39910E+00
-1.1524E-01,2.39910E+00
-1.1520E-01,2.39910E+00
-1.1516E-01,2.38910E+00
-1.1512E-01,2.38910E+00
-1.1508E-01,2.38910E+00
-1.1504E-01,2.39910E+00
-1.1500E-01,2.39910E+00
-1.1496E-01,2.39910E+00
-1.1492E-01,2.37910E+00
-1.1488E-01,2.37910E+00
-1.1484E-01,2.37910E+00
-1.1480E-01,2.38910E+00
-1.1476E-01,2.38910E+00
