WL(nm),Abs, T%
190,0.2578,55.23
191,0.8653,13.64
192,0.2191,60.38
193,0.3378,45.95
194,0.356,44.06
195,0.1474,71.23
196,0.5752,26.6
197,0.2711,53.57
198,0.1523,70.41
199,0.7368,18.33
200,0.2365,58.01
201,0.223,59.84
202,0.4888,32.45
203,0.1375,72.86
204,0.3322,46.53
205,0.3646,43.19
206,0.1084,77.91
207,0.7152,19.27
208,0.2008,62.98
209,0.2062,62.2
210,0.7755,16.77
211,0.2034,62.61
212,0.1919,64.29
213,0.5119,30.77
214,0.0545,88.2
215,0.6255,23.68
216,0.3416,45.54
217,0.0779,83.58
218,0.9974,10.06
219,0.2383,57.77
220,0.0939,80.56
221,0.6839,20.71
222,0.0494,89.24
223,0.5597,27.56
224,0.5036,31.36
225,-0.0248,105.88
226,1.0544,8.82
227,0.231,58.74
228,0.1437,71.83
229,1.0538,8.84
230,0.2203,60.22
231,0.5418,28.72
232,0.6128,24.39
233,0.1017,79.11
234,0.8533,14.02
235,0.3876,40.96
236,0.1996,63.16
237,1.1637,6.86
238,0.1924,64.21
239,0.2586,55.14
240,0.9617,10.92
241,0.1947,63.87
242,0.6834,20.73
243,0.5171,30.4
244,0.1282,74.43
245,1.0669,8.57
246,0.202,62.8
247,0.2625,54.64
248,0.8004,15.83
249,0.0714,84.85
250,0.5027,31.43
251,0.5975,25.26
252,0.061,86.9
253,1.0775,8.37
254,0.27,53.7
255,0.1003,79.37
256,1.0645,8.62
257,-0.0356,108.55
258,0.4791,33.18
259,0.7735,16.85
260,-0.1399,138
261,0.7968,15.97
262,0.3639,43.26
263,0.1669,68.1
264,0.8119,15.42
265,0.0895,81.37
266,0.3611,43.54
267,1.1839,6.55
268,-0.1668,146.81
269,0.4191,38.1
270,0.2114,61.46
271,0.162,68.86
272,0.7427,18.09
273,-0.0045,101.05
274,0.2254,59.51
275,0.7841,16.44
276,-0.0384,109.24
277,0.3274,47.06
278,0.3533,44.33
279,0.0951,80.34
280,0.5485,28.28
281,0.2888,51.43
282,0.3259,47.22
283,0.9669,10.79
284,0.041,90.98
285,0.2764,52.91
286,0.5933,25.51
287,0.1967,63.58
288,0.3956,40.22
289,0.699,20
290,0.1971,63.51
291,0.656,22.08
292,0.1996,63.16
293,0.301,50
294,0.9094,12.32
295,0.2665,54.13
296,0.4359,36.65
297,0.8451,14.29
298,0.5806,26.27
299,0.9367,11.57
300,0.9692,10.74
301,0.8612,13.77
302,1.6549,2.21
303,1.3654,4.31
304,1.3209,4.78
305,2.0101,0.98
306,1.618,2.41
307,1.8704,1.35
308,2.3681,0.43
309,1.9296,1.18
310,2.5766,0.27
311,2.64,0.23
312,2.2283,0.59
313,2.9057,0.12
314,2.5458,0.28
315,3.1602,0.07
316,2.6154,0.24
317,2.7116,0.19
318,3.3417,0.05
319,3.1435,0.07
320,3.1787,0.07
321,2.7697,0.17
322,3.1517,0.07
323,3.0313,0.09
324,2.8857,0.13
325,4.0881,0.01
326,2.9972,0.1
327,3.0512,0.09
328,3.6721,0.02
329,2.9774,0.11
330,3.2068,0.06
331,3.4601,0.03
332,2.9127,0.12
333,3.6813,0.02
334,3.1939,0.06
335,3.0817,0.08
336,3.9493,0.01
337,3.1588,0.07
338,3.1991,0.06
339,3.6103,0.02
340,2.9931,0.1
341,3.4073,0.04
342,3.2776,0.05
343,2.9501,0.11
344,3.8558,0.01
345,3.0771,0.08
346,3.4108,0.04
347,3.0104,0.1
348,3.1898,0.06
349,3.9505,0.01
350,3.222,0.06
351,3.2776,0.05
352,3.5943,0.03
353,3.1335,0.07
354,3.6244,0.02
355,3.2563,0.06
