[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3972828571.90096,11-20-2025,7:29 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC589,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM154,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,LSCO(3)STO(111),SAMPLE_MATERIAL
INFO,IN PLANE,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3*3,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68.5,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3972832230.80527,20.0064744949341,99.9516067504883,,,6,,,,32.329999627173,,,1,,20.002613067627,20.0121994018555,99.9516067504883,99.9516067504883,,,6.52975797653198,,1,0,0,0,0.0138092041015625,30.7917900085449,1,1,1,20.0103359222412,0,20.0087420145671,,,-1.66735694890337E-5,8.29725691250588E-7,-1.67615345357223E-5,8.2990861380146E-7,0.898782730102539,0.985339760780334,31.9500217437744,0,30,4,200,0.000405393919209018,-0.560113489627838,-0.472298979759216,1,,,,,,,,,,,,,,,,
,3972832248.85486,20.1946573257446,99.9516067504883,,,6,,,,32.329999627173,,,1,,20.0522785186768,20.2980308532715,99.9516067504883,99.9516067504883,,,6.54673528671265,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,20.3370361328125,0,20.17443423801,,,-1.66632700192813E-5,8.29270911971939E-7,-1.67534109010093E-5,8.29461689397428E-7,0.898103892803192,0.989646375179291,31.9455947875977,0,30,4,200,0.000251520337769762,-0.553037345409393,-0.46649757027626,1,,,,,,,,,,,,,,,,
,3972832259.30518,20.5022583007813,99.9516067504883,,,6,,,,32.329999627173,,,1,,20.3370361328125,20.6547698974609,99.9516067504883,99.9516067504883,,,6.56110095977783,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,20.66748046875,0,20.4922822316488,,,-1.66546752422879E-5,8.28858858448476E-7,-1.67450357607212E-5,8.29043880476401E-7,0.897921741008759,0.990035116672516,31.9447288513184,0,30,4,200,0.000156394497025758,-0.550444006919861,-0.46482902765274,1,,,,,,,,,,,,,,,,
,3972832269.62148,20.836012840271,99.9516067504883,,,6,,,,32.329999627173,,,1,,20.66748046875,20.9880924224854,99.9516067504883,99.9516067504883,,,6.57484483718872,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,21.004545211792,0,20.8301107618544,,,-1.66456556873989E-5,8.28405061621941E-7,-1.67359813052531E-5,8.28593278914336E-7,0.897978544235229,0.990312099456787,31.9448738098145,0,30,4,200,9.16989883990027E-5,-0.549070656299591,-0.463858127593994,1,,,,,,,,,,,,,,,,
,3972832279.93837,21.1737394332886,99.9516067504883,,,6,,,,32.329999627173,,,1,,21.004545211792,21.3289432525635,99.9516067504883,99.9516067504883,,,6.58896827697754,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,21.3429336547852,0,21.1648269229465,,,-1.66497237595973E-5,8.28583456232369E-7,-1.67394902420202E-5,8.28766291823136E-7,0.898262143135071,0.990417301654816,31.9458351135254,,30,4,200,5.34804894414265E-5,-0.548183143138886,-0.463379561901093,1,,,,,,,,,,,,,,,,
,3972832290.26155,21.5065240859985,99.9516067504883,,,6,,,,32.329999627173,,,1,,21.3429336547852,21.6310024261475,99.9516067504883,99.9516067504883,,,6.60265779495239,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,21.6701145172119,0,21.4950502183702,,,-1.66499769749929E-5,8.28559878757563E-7,-1.6739054298358E-5,8.2874620588255E-7,0.898690342903137,0.990257799625397,31.9475555419922,0,30,4,200,4.54114597232547E-5,-0.547738611698151,-0.463019073009491,1,,,,,,,,,,,,,,,,
,3972832300.56037,21.8409700393677,99.9516067504883,,,6,,,,32.329999627173,,,1,,21.6701145172119,21.9999084472656,99.9516067504883,99.9516067504883,,,6.61469602584839,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,22.0118255615234,0,21.8282345665826,,,-1.66432543445584E-5,8.28276528899717E-7,-1.67333673252042E-5,8.28465547151981E-7,0.898087799549103,0.990140914916992,31.9452304840088,0.731980323791504,30,4,200,-9.97961797111202E-6,-0.547436892986298,-0.463053554296494,1,,,,,,,,,,,,,,,,
,3972832310.89184,22.188422203064,99.9516067504883,,,6,,,,32.329999627173,,,1,,22.0118255615234,22.3376445770264,99.9516067504883,99.9516067504883,,,6.62966680526733,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,22.3650188446045,0,22.1667493184408,,,-1.663512634753E-5,8.27854768460785E-7,-1.67249440586709E-5,8.28038662411549E-7,0.898288905620575,0.991413176059723,31.945592880249,5.65204334259033,30,4,200,-1.98584493773524E-5,-0.547504365444183,-0.463308870792389,1,,,,,,,,,,,,,,,,
,3972832321.23615,22.5243520736694,99.9516067504883,,,6,,,,32.329999627173,,,1,,22.3650188446045,22.6468944549561,99.9516067504883,99.9516067504883,,,6.64179134368897,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,22.6836853027344,0,22.5055618286133,,,-1.66271628618679E-5,8.27481909207612E-7,-1.67173716351786E-5,8.27668196500385E-7,0.898010969161987,0.990781128406525,31.9447784423828,0,30,4,200,-3.64362094842363E-5,-0.54782497882843,-0.463382244110107,1,,,,,,,,,,,,,,,,
,3972832331.51678,22.8505725860596,99.9516067504883,,,6,,,,32.329999627173,,,1,,22.6836853027344,22.9901351928711,99.9516067504883,99.9516067504883,,,6.65398597717285,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,23.0174598693848,0,22.8382653130425,,,-1.66246409291553E-5,8.27312311150499E-7,-1.67137720936479E-5,8.27493026128878E-7,0.898532450199127,0.990422964096069,31.9469184875488,0,30,4,200,-6.20948994765058E-5,-0.548412263393402,-0.464025646448135,1,,,,,,,,,,,,,,,,
,3972832341.78231,23.1870565414429,99.9516067504883,,,6,,,,32.329999627173,,,1,,23.0174598693848,23.3446445465088,99.9516067504883,99.9516067504883,,,6.66550874710083,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,23.356653213501,0,23.166225221422,,,-1.66146085429466E-5,8.26817666187882E-7,-1.67038217619664E-5,8.27000241419525E-7,0.898479700088501,0.990459084510803,31.9466590881348,1,30,4,200,-5.10788268002216E-5,-0.549003660678864,-0.464558035135269,1,,,,,,,,,,,,,,,,
,3972832352.09278,23.5256147384644,99.9516067504883,,,6,,,,32.329999627173,,,1,,23.356653213501,23.6825904846191,99.9516067504883,99.9516067504883,,,6.67878484725952,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,23.6945762634277,0,23.5137869517008,,,-1.66150604671986E-5,8.26828091490553E-7,-1.670410008393E-5,8.27011345354111E-7,0.898619294166565,0.990773737430573,31.9470729827881,0,30,4,200,-7.05498023307882E-5,-0.549714386463165,-0.465259552001953,1,,,,,,,,,,,,,,,,
,3972832362.43023,23.8596534729004,99.9516067504883,,,6,,,,32.329999627173,,,1,,23.6945762634277,24.0106105804443,99.9516067504883,99.9516067504883,,,6.69058990478516,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,24.024730682373,0,23.8466008504232,,,-1.66129336129604E-5,8.26672498233119E-7,-1.6700790753263E-5,8.26851779067882E-7,0.899209380149841,0.990237534046173,31.949535369873,0,30,4,200,-5.46175906492863E-5,-0.550281882286072,-0.466036230325699,1,,,,,,,,,,,,,,,,
,3972832372.71819,24.1942768096924,99.9516067504883,,,6,,,,32.329999627173,,,1,,24.024730682373,24.351526260376,99.9516067504883,99.9516067504883,,,6.70117902755737,,1,0,0,0,0.0138092041015625,30.3030319213867,2,1,1,24.3638229370117,0,24.1866448720296,,,-1.66111213545111E-5,8.26599229507019E-7,-1.6699281938361E-5,8.26777494798518E-7,0.899006903171539,0.99016809463501,31.9488124847412,0,30,4,200,-0.000114162648969796,-0.551447927951813,-0.466565102338791,1,,,,,,,,,,,,,,,,
,3972832383.03958,24.534948348999,99.9516067504883,,,6,,,,32.329999627173,,,1,,24.3638229370117,24.6944179534912,99.9516067504883,99.9516067504883,,,6.71372318267822,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,24.7060737609863,0,24.5246529049344,,,-1.66090795633784E-5,8.26501130417836E-7,-1.66973557238733E-5,8.26683773724046E-7,0.898965775966644,0.989971876144409,31.9486999511719,0,30,4,200,-8.89318689587526E-5,-0.552200198173523,-0.467539221048355,1,,,,,,,,,,,,,,,,
,3972832393.62609,24.8867073059082,99.9516067504883,,,6,,,,32.329999627173,,,1,,24.7192268371582,25.0092620849609,99.9516067504883,99.9516067504883,,,6.72536659240723,,1,0,0,0,0.0138092041015625,30.3030319213867,2,1,1,25.0541877746582,0,24.8721787929535,,,-1.65930520083622E-5,8.25695288411356E-7,-1.66811202798296E-5,8.25875515262259E-7,0.899063467979431,0.990517020225525,31.9488964080811,5.42703844530479E-7,30,4,200,-8.78648061188869E-5,-0.553029298782349,-0.468758434057236,1,,,,,,,,,,,,,,,,
,3972832403.70861,25.2166395187378,99.9516067504883,,,6,,,,32.329999627173,,,1,,25.0600891113281,25.3334369659424,99.9516067504883,99.9516067504883,,,6.7349910736084,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,25.3731899261475,0,25.196972741021,,,-1.65868068690362E-5,8.25392858399063E-7,-1.66749224044473E-5,8.25575983237171E-7,0.898963212966919,0.989611566066742,31.9488887786865,0,30,4,200,-0.000123057441669516,-0.554298400878906,-0.469454795122147,1,,,,,,,,,,,,,,,,
